"B","TT","UU","VV","YY","AAA","DDD","EEE","HHH","LLL","Workplace_Culture","Employee_Comfort_w/_MH_@_Workplace","Employee_Comfort_w/_MH"
"100-500","Yes","Yes","Yes","Yes","True","25-35","M","Canada","Always","7","5","1"
"100-500","I don't know","Maybe","Maybe","No","False","25-35","M","United States of America","Sometimes","3","0","0"
"26-100","No","Maybe","Maybe","No","False","25-35","M","United States of America","Sometimes","3","0","0"
"More than 1000","Yes","Yes","Yes","Yes","True","36-45","F","United States of America","Always","5","0","0"
"100-500","No","No","Maybe","No","False","25-35","M","Australia","Always","5","3","1"
"100-500","Yes","Yes","Yes","Yes","True","36-45","M","United States of America","Always","3","0","1"
"6-25","No","Yes","Maybe","Yes","True","25-35","M","United States of America","Sometimes","6","0","1"
"26-100","No","No","No","No","False",">45","F","United States of America","Never","3","0","0"
"6-25","No","No","No","No","False","25-35","M","Australia","Sometimes","2","0","1"
"100-500","Yes","Yes","Maybe","Yes","True","36-45","M","United States of America","Always","7","1","1"
"More than 1000","I don't know","Yes","No","No","True","25-35","M","United States of America","Sometimes","4","1","1"
"6-25","No","No","Yes","No","True","<25","M","Australia","Never","1","1","0"
"26-100","Yes","Yes","No","Yes","True","<25","M","United States of America","Sometimes","1","0","1"
"100-500","Yes","Yes","Yes","Yes","True","36-45","M","United States of America","Always","1","0","1"
"100-500","Yes","Yes","Maybe","Yes","True","25-35","F","Canada","Sometimes","2","0","1"
"1-5","No","No","No","No","False","<25","M","India","Never","2","1","2"
"More than 1000","No","No","No","No","False","36-45","M","Germany","Sometimes","5","2","1"
"100-500","Yes","No","Maybe","No","True","<25","M","United Kingdom","Never","2","2","1"
"6-25","No","No","No","No","False","<25","M","United Kingdom","Never","2","3","0"
"6-25","No","No","No","No","False","25-35","M","United States of America","Sometimes","4","2","1"
"More than 1000","No","No","No","No","False","36-45","M","United Kingdom","Never","3","0","1"
"6-25","Yes","Maybe","Maybe","No","False","25-35","M","New Zealand","Always","2","3","1"
"26-100","I don't know","Maybe","Maybe","No","False","36-45","M","United Kingdom","Sometimes","2","0","0"
"26-100","Yes","Yes","Yes","No","True","25-35","F","United Kingdom","Never","2","0","1"
"6-25","I don't know","No","No","No","False","<25","M","United Kingdom","Never","1","0","0"
"100-500","Yes","Yes","Yes","Yes","True","25-35","M","United States of America","Always","3","1","1"
"More than 1000","Yes","Yes","Yes","Yes","True","36-45","M","United States of America","Sometimes","4","0","1"
"100-500","I don't know","No","No","No","False","25-35","M","United States of America","Always","3","5","1"
"6-25","No","No","No","No","False","36-45","M","United States of America","Sometimes","2","1","0"
"500-1000","Yes","Yes","Yes","Yes","True","36-45","F","France","Never","3","0","1"
"More than 1000","Yes","Yes","Yes","Yes","False","25-35","F","United States of America","Sometimes","4","1","1"
"More than 1000","Yes","Yes","No","No","False","36-45","M","United States of America","Sometimes","7","3","1"
"6-25","No","No","No","No","False",">45","M","United States of America","Sometimes","4","1","1"
"26-100","No","No","No","No","False","25-35","M","United States of America","Always","3","1","1"
"500-1000","I don't know","Yes","Yes","No","True","25-35","M","United States of America","Sometimes","7","2","1"
"26-100","No","Yes","No","Yes","True","<25","M","United States of America","Sometimes","2","2","1"
"6-25","I don't know","No","No","No","False","36-45","M","United States of America","Sometimes","2","2","1"
"6-25","Yes","No","No","No","False","25-35","M","United States of America","Sometimes","1","0","0"
"26-100","I don't know","Maybe","Maybe","No","False","36-45","M","Poland","Never","1","0","0"
"6-25","No","No","No","No","True","36-45","M","United States of America","Sometimes","5","2","0"
"26-100","Yes","Yes","Yes","Yes","True","25-35","M","United States of America","Sometimes","6","4","2"
"More than 1000","No","No","No","No","False","36-45","M","United Kingdom","Sometimes","4","1","1"
"100-500","I don't know","Yes","Yes","Yes","True","25-35","F","United States of America","Always","5","2","1"
"6-25","Yes","No","No","No","False","<25","M","Bulgaria","Sometimes","2","1","1"
"More than 1000","Yes","Yes","Yes","Yes","True","25-35","F","United States of America","Sometimes","4","2","1"
"6-25","No","Yes","Yes","No","True","<25","M","United States of America","Never","7","1","1"
"More than 1000","Yes","Maybe","No","No","False","25-35","M","Canada","Sometimes","6","0","1"
"26-100","No","Yes","Yes","Yes","True","25-35","M","United States of America","Sometimes","4","0","1"
"26-100","I don't know","Yes","Yes","Yes","True","25-35","M","Canada","Sometimes","2","0","1"
"100-500","Yes","Yes","Maybe","Yes","True","25-35","M","United States of America","Sometimes","4","0","1"
"6-25","Yes","Yes","Yes","Yes","True",">45","M","United States of America","Sometimes","4","2","1"
"More than 1000","I don't know","Yes","No","Yes","True","25-35","F","Canada","Sometimes","3","2","0"
"6-25","No","No","No","No","False","36-45","M","Canada","Sometimes","5","3","0"
"6-25","No","No","No","No","False","36-45","M","United States of America","Sometimes","3","4","1"
"100-500","No","Maybe","No","No","False","25-35","M","Canada","Sometimes","2","2","1"
"100-500","Yes","Yes","Maybe","No","True","25-35","F","United States of America","Sometimes","2","2","1"
"More than 1000","Yes","Yes","Maybe","Yes","True","36-45","M","United States of America","Never","4","2","0"
"More than 1000","I don't know","No","No","No","False",">45","M","United States of America","Sometimes","6","3","0"
"6-25","Yes","Yes","Maybe","Yes","True","25-35","M","United States of America","Never","3","2","0"
"1-5","No","No","No","No","False","25-35","M","United States of America","Always","3","4","1"
"100-500","No","No","No","No","False","25-35","M","United States of America","Always","1","0","0"
"1-5","Yes","No","Yes","Yes","True","25-35","F","United States of America","Sometimes","5","4","1"
"More than 1000","Yes","Yes","Yes","Yes","True","25-35","M","United Kingdom","Never","2","0","0"
"26-100","Yes","Yes","Yes","Yes","True","25-35","F","United States of America","Sometimes","6","0","1"
"100-500","I don't know","Maybe","Maybe","Yes","True","36-45","M","United States of America","Always","0","0","0"
"6-25","No","Yes","No","Yes","True","25-35","F","Germany","Always","2","0","1"
"More than 1000","No","No","Maybe","No","False","36-45","M","United States of America","Always","3","1","1"
"More than 1000","I don't know","No","No","No","False","25-35","F","United States of America","Never","7","1","1"
"6-25","I don't know","Maybe","Maybe","No","False","25-35","F","Other","Always","2","2","0"
"More than 1000","Yes","Maybe","Maybe","Yes","False","36-45","M","United States of America","Sometimes","5","0","0"
"26-100","Yes","Yes","No","Yes","True",">45","M","United States of America","Sometimes","1","0","0"
"More than 1000","No","No","Maybe","No","False","25-35","M","United States of America","Sometimes","3","4","2"
"26-100","No","No","No","No","False","25-35","M","France","Sometimes","4","0","1"
"26-100","No","Yes","Yes","Yes","True",">45","M","United States of America","Sometimes","3","4","2"
"500-1000","I don't know","Maybe","Maybe","No","True","25-35","M","United States of America","Sometimes","5","3","1"
"1-5","Yes","Maybe","Maybe","No","False","25-35","M","Iran","Sometimes","3","5","1"
"More than 1000","Yes","Maybe","No","No","True",">45","M","Switzerland","Never","3","0","0"
"More than 1000","I don't know","Yes","Maybe","Yes","True","25-35","M","United States of America","Never","3","0","0"
"26-100","No","No","No","No","False","36-45","M","Ireland","Sometimes","2","2","0"
"6-25","No","Maybe","Maybe","No","False","25-35","M","United States of America","Never","2","2","0"
"6-25","Yes","Yes","Yes","No","False","36-45","F","United States of America","Always","3","3","0"
"500-1000","No","Maybe","No","No","False","25-35","M","South Africa","Never","1","0","0"
"100-500","I don't know","Yes","Yes","Yes","False","25-35","F","Germany","Never","6","0","1"
"More than 1000","Yes","No","No","No","False","36-45","M","United States of America","Sometimes","4","0","1"
"1-5","Yes","Yes","Maybe","Yes","True","25-35","M","United States of America","Sometimes","4","0","1"
"6-25","Yes","Yes","Yes","Yes","True","25-35","M","Canada","Never","3","1","1"
"26-100","Yes","Yes","Yes","Yes","True","25-35","M","Australia","Sometimes","5","5","1"
"26-100","Yes","Yes","Yes","Yes","True","<25","M","United States of America","Never","6","1","1"
"6-25","No","No","No","No","False","<25","M","India","Sometimes","1","0","0"
"6-25","No","No","No","No","False","36-45","M","France","Always","4","2","1"
"26-100","No","No","No","No","False","25-35","M","France","Sometimes","3","1","1"
"26-100","No","No","No","No","False","25-35","M","United Kingdom","Sometimes","3","3","2"
"100-500","I don't know","No","No","No","False","25-35","F","Germany","Never","2","1","0"
"500-1000","Yes","Maybe","Maybe","No","False","25-35","M","United States of America","Sometimes","3","1","0"
"6-25","I don't know","Yes","No","Yes","False","36-45","M","Germany","Sometimes","4","2","1"
"1-5","Yes","Yes","Yes","Yes","True","<25","O","United States of America","Always","4","0","1"
"6-25","Yes","No","No","No","False","25-35","M","Germany","Sometimes","7","1","1"
"More than 1000","No","No","Maybe","No","False","25-35","M","United States of America","Sometimes","3","0","1"
"26-100","No","No","No","No","False","<25","F","United States of America","Sometimes","3","0","0"
"6-25","No","No","No","No","False","25-35","M","United Kingdom","Always","2","2","0"
"26-100","No","Maybe","No","No","False","25-35","M","United States of America","Never","4","3","1"
"500-1000","No","No","No","No","False","25-35","M","Italy","Never","3","3","1"
"100-500","No","No","No","No","False","25-35","M","Bulgaria","Always","5","3","0"
"100-500","Yes","Yes","Yes","Yes","True","25-35","M","United States of America","Never","3","1","1"
"26-100","Yes","Yes","Yes","Yes","True","36-45","F","United Kingdom","Always","2","4","0"
"26-100","Yes","Yes","Maybe","No","True","25-35","M","United States of America","Always","3","0","0"
"26-100","I don't know","Yes","Yes","No","False","25-35","F","United Kingdom","Always","3","1","0"
"500-1000","Yes","No","No","No","False","36-45","M","United States of America","Always","4","1","0"
"500-1000","Yes","Yes","Yes","Yes","True","36-45","M","United States of America","Sometimes","7","2","1"
"More than 1000","Yes","Yes","No","Yes","True","25-35","M","Hungary","Sometimes","4","4","2"
"6-25","No","No","No","No","False","<25","M","France","Sometimes","4","2","1"
"100-500","Yes","Yes","Maybe","Yes","True","36-45","F","United States of America","Sometimes","2","0","1"
"26-100","Yes","Yes","Maybe","Yes","True","25-35","M","United States of America","Never","2","0","0"
"6-25","No","No","No","No","False","25-35","M","United States of America","Sometimes","2","4","0"
"More than 1000","Yes","Yes","Yes","Yes","False","25-35","M","United States of America","Never","6","1","0"
"More than 1000","Yes","Yes","Maybe","Yes","True","25-35","M","United States of America","Never","8","2","1"
"100-500","No","Yes","No","Yes","True","25-35","M","Israel","Never","3","0","1"
"100-500","Yes","No","No","No","False","25-35","M","Japan","Never","2","1","1"
"More than 1000","I don't know","No","No","No","False","25-35","M","United States of America","Never","3","0","0"
"26-100","No","Maybe","No","No","False","36-45","M","United States of America","Sometimes","7","1","1"
"More than 1000","No","No","No","No","False","25-35","M","United States of America","Never","7","2","1"
"100-500","No","No","Yes","No","False","25-35","M","United States of America","Sometimes","3","2","1"
"500-1000","No","Yes","No","No","True","36-45","M","United States of America","Always","4","4","1"
"6-25","No","No","No","No","False","25-35","M","United States of America","Always","3","0","0"
"26-100","Yes","Maybe","Maybe","No","False",">45","M","United States of America","Never","3","1","1"
"26-100","Yes","Maybe","Maybe","Yes","True",">45","M","United States of America","Sometimes","4","0","1"
"100-500","Yes","Yes","Yes","Yes","True","25-35","M","United States of America","Sometimes","6","4","1"
"26-100","Yes","Yes","Yes","Yes","True","25-35","M","United States of America","Sometimes","5","3","1"
"26-100","Yes","Yes","Yes","Yes","True","25-35","M","United Kingdom","Sometimes","3","3","2"
"More than 1000","I don't know","Maybe","Maybe","No","True","25-35","F","United States of America","Never","4","0","1"
"More than 1000","No","Yes","Yes","Yes","True","36-45","M","Ireland","Sometimes","6","1","1"
"100-500","Yes","No","No","No","False","25-35","F","United Kingdom","Sometimes","6","3","1"
"500-1000","Yes","Yes","Yes","Yes","True","25-35","M","United States of America","Sometimes","5","5","1"
"More than 1000","I don't know","Yes","Yes","Yes","True","25-35","M","United Kingdom","Never","1","0","1"
"26-100","Yes","Yes","Yes","Yes","True",">45","M","United States of America","Sometimes","3","0","1"
"6-25","I don't know","Maybe","Maybe","No","False","36-45","M","United Kingdom","Always","5","2","0"
"100-500","Yes","Yes","Yes","Yes","True","25-35","M","United States of America","Sometimes","1","0","0"
"100-500","No","Yes","Yes","Yes","True","36-45","M","United States of America","Sometimes","5","0","1"
"100-500","No","No","No","No","False","36-45","F","United States of America","Always","7","2","0"
"100-500","I don't know","Yes","Maybe","No","True","25-35","M","United States of America","Sometimes","2","0","1"
"26-100","Yes","Maybe","No","No","True","25-35","M","United States of America","Sometimes","3","2","1"
"6-25","Yes","Yes","Yes","No","False","<25","M","United States of America","Never","1","0","0"
"26-100","I don't know","No","No","No","True","25-35","M","United States of America","Never","3","3","1"
"100-500","No","Maybe","Maybe","No","True","25-35","M","United States of America","Always","8","5","1"
"100-500","No","Maybe","Yes","Yes","False","36-45","M","Bulgaria","Always","2","2","0"
"1-5","No","No","No","No","False","36-45","M","Switzerland","Sometimes","3","1","1"
"500-1000","Yes","Yes","Yes","Yes","True","25-35","F","United States of America","Sometimes","2","3","1"
"More than 1000","Yes","Maybe","Maybe","No","False","25-35","M","United States of America","Sometimes","4","2","0"
"More than 1000","No","No","No","No","False","25-35","M","United States of America","Always","5","1","1"
"26-100","No","No","No","No","False","25-35","M","United States of America","Sometimes","4","1","1"
"500-1000","I don't know","Yes","Maybe","No","False","25-35","M","United States of America","Never","3","5","1"
"More than 1000","I don't know","No","No","No","False","25-35","M","United States of America","Always","2","0","1"
"100-500","Yes","Maybe","Yes","No","False","25-35","M","United States of America","Never","3","0","1"
"100-500","Yes","Yes","Yes","Yes","True","36-45","M","United States of America","Always","5","4","2"
"26-100","Yes","Yes","Maybe","No","True","25-35","M","Brazil","Never","4","2","2"
"26-100","Yes","No","Yes","Yes","False","25-35","M","Netherlands","Never","3","2","1"
"1-5","No","No","No","No","False","<25","M","United States of America","Always","3","1","1"
"100-500","No","No","No","No","False","25-35","M","United States of America","Never","3","0","0"
"More than 1000","No","Maybe","Maybe","Yes","True","36-45","M","Sweden","Sometimes","4","1","1"
"100-500","No","Yes","Yes","Yes","True","36-45","M","United States of America","Sometimes","7","0","1"
"26-100","I don't know","Yes","Maybe","Yes","True","25-35","M","United States of America","Sometimes","5","1","0"
"6-25","I don't know","No","No","No","False","<25","M","United States of America","Sometimes","2","4","1"
"100-500","No","Yes","Maybe","Yes","True","25-35","F","Sweden","Never","3","4","2"
"100-500","Yes","No","No","No","False","25-35","F","United States of America","Never","3","0","0"
"100-500","No","Yes","Maybe","No","True","25-35","M","Germany","Sometimes","5","2","1"
"500-1000","I don't know","Maybe","No","No","True","25-35","F","United Kingdom","Sometimes","8","0","0"
"More than 1000","Yes","Yes","Yes","Yes","True","36-45","F","United States of America","Never","8","0","1"
"More than 1000","I don't know","Yes","No","Yes","True","36-45","M","United States of America","Never","3","0","0"
"100-500","Yes","No","No","No","False","25-35","M","Sweden","Sometimes","2","3","1"
"More than 1000","Yes","Yes","Yes","Yes","True","25-35","M","United States of America","Sometimes","7","0","1"
"More than 1000","No","No","No","No","False",">45","F","United Kingdom","Sometimes","7","2","2"
"100-500","No","No","No","No","False",">45","M","United Kingdom","Sometimes","2","0","0"
"More than 1000","Yes","Maybe","Maybe","Yes","True","25-35","M","United States of America","Never","0","0","0"
"More than 1000","No","No","No","No","False",">45","M","United States of America","Always","7","3","1"
"100-500","No","Yes","No","No","False","25-35","F","Sweden","Sometimes","7","5","0"
"100-500","No","No","No","No","False","25-35","M","Netherlands","Never","5","3","1"
"More than 1000","No","No","No","No","False","25-35","M","United States of America","Sometimes","4","0","1"
"More than 1000","I don't know","Maybe","Maybe","No","False","25-35","M","Russia","Sometimes","2","0","1"
"6-25","Yes","Yes","Maybe","No","False","36-45","M","United Kingdom","Sometimes","8","5","0"
"26-100","Yes","Yes","Yes","No","False","25-35","M","United Kingdom","Always","1","3","1"
"More than 1000","No","No","No","No","False","36-45","F","United Kingdom","Never","5","0","0"
"26-100","I don't know","Yes","Yes","Yes","True","36-45","F","United Kingdom","Sometimes","1","0","1"
"100-500","No","No","No","No","False","25-35","F","United States of America","Sometimes","5","1","0"
"More than 1000","Yes","Yes","Yes","Yes","True","36-45","M","New Zealand","Never","0","0","0"
"More than 1000","No","Yes","Maybe","No","True","25-35","M","United States of America","Always","4","1","1"
"100-500","Yes","Yes","Yes","Yes","True","25-35","F","Australia","Sometimes","3","0","1"
"More than 1000","Yes","No","Yes","Yes","True","36-45","M","United States of America","Always","2","0","0"
"100-500","Yes","No","No","No","False","25-35","M","United States of America","Sometimes","3","1","1"
"26-100","Yes","Yes","No","Yes","True","25-35","M","United States of America","Sometimes","3","0","1"
"26-100","Yes","Yes","Yes","Yes","True","<25","M","Ecuador","Sometimes","2","0","0"
"100-500","No","Maybe","Maybe","No","False","36-45","M","South Africa","Sometimes","1","0","1"
"More than 1000","No","No","No","No","False","25-35","M","United States of America","Sometimes","4","2","0"
"100-500","Yes","No","No","No","False","36-45","M","Sweden","Never","1","1","1"
"26-100","Yes","Yes","Yes","Yes","False","25-35","M","United Kingdom","Never","2","1","1"
"26-100","Yes","Yes","Yes","Yes","True","25-35","F","United Kingdom","Never","1","0","1"
"More than 1000","Yes","No","No","No","False","36-45","M","Italy","Never","2","1","0"
"More than 1000","I don't know","Yes","No","Yes","True","36-45","M","Germany","Sometimes","2","1","1"
"26-100","No","Maybe","No","No","False","25-35","M","United Kingdom","Sometimes","3","2","1"
"500-1000","Yes","Yes","No","Yes","True","36-45","M","Australia","Sometimes","6","1","1"
"1-5","Yes","No","No","No","False","36-45","F","Australia","Always","2","3","0"
"100-500","No","Yes","Yes","Yes","True","<25","M","United States of America","Sometimes","4","0","1"
"More than 1000","Yes","Yes","Yes","Yes","True","25-35","M","Australia","Sometimes","4","0","1"
"More than 1000","No","Yes","Yes","Yes","True","25-35","M","United States of America","Never","4","0","0"
"6-25","No","Yes","Maybe","No","False","<25","M","United Kingdom","Never","1","0","1"
"100-500","Yes","Yes","Yes","Yes","True","25-35","O","Switzerland","Never","3","0","1"
"26-100","No","Maybe","Maybe","No","False","25-35","M","Germany","Sometimes","5","1","1"
"More than 1000","No","No","No","No","True","25-35","M","United States of America","Sometimes","6","2","0"
"More than 1000","No","Yes","Yes","Yes","True","25-35","M","Australia","Sometimes","4","0","1"
"More than 1000","Yes","Yes","Maybe","No","True","36-45","M","United States of America","Sometimes","2","0","1"
"More than 1000","I don't know","Yes","Yes","Yes","True",">45","M","Australia","Sometimes","7","3","1"
"26-100","No","Maybe","No","No","True","25-35","M","Bulgaria","Sometimes","3","1","1"
"More than 1000","No","Yes","No","Yes","True",">45","M","Canada","Sometimes","6","2","1"
"100-500","Yes","Yes","Yes","Yes","True","36-45","M","United States of America","Never","2","2","1"
"100-500","I don't know","No","Maybe","No","True","36-45","M","United States of America","Sometimes","4","0","1"
"More than 1000","Yes","Yes","No","No","True",">45","M","United States of America","Sometimes","5","0","0"
"More than 1000","No","Yes","No","Yes","False","36-45","M","New Zealand","Always","5","1","0"
"100-500","I don't know","No","Maybe","No","True","25-35","M","Switzerland","Sometimes","3","1","1"
"100-500","Yes","Yes","Maybe","Yes","True","36-45","M","Australia","Sometimes","1","0","1"
"More than 1000","Yes","Yes","Yes","Yes","True","36-45","M","United States of America","Sometimes","2","0","1"
"6-25","Yes","No","Yes","Yes","False","<25","M","Brazil","Always","2","1","0"
"26-100","Yes","Yes","Yes","Yes","True","25-35","F","United States of America","Sometimes","5","0","1"
"26-100","I don't know","No","Maybe","No","False","36-45","F","Bulgaria","Sometimes","2","0","0"
"500-1000","Yes","No","No","No","False","<25","F","United States of America","Sometimes","4","2","1"
"1-5","Yes","Yes","Yes","Yes","True","<25","F","United States of America","Always","3","5","1"
"500-1000","I don't know","Yes","Maybe","Yes","True","36-45","F","United States of America","Sometimes","5","0","1"
"26-100","Yes","Yes","Yes","Yes","True","25-35","F","United States of America","Sometimes","1","0","1"
"More than 1000","Yes","Yes","Yes","Yes","True","36-45","M","United States of America","Sometimes","6","2","1"
"More than 1000","Yes","Yes","No","Yes","False","36-45","M","Australia","Sometimes","2","1","0"
"More than 1000","I don't know","Yes","Yes","Yes","True",">45","M","United Kingdom","Sometimes","4","1","1"
"1-5","Yes","Yes","No","No","False","25-35","M","United Kingdom","Sometimes","2","0","1"
"100-500","I don't know","Maybe","Maybe","Yes","True","36-45","M","Sweden","Sometimes","2","0","1"
"More than 1000","Yes","Yes","Yes","Yes","True","36-45","M","United States of America","Never","7","0","0"
"More than 1000","No","No","No","No","False","25-35","F","United Kingdom","Never","5","4","0"
"100-500","Yes","Yes","Yes","Yes","True","36-45","M","United States of America","Sometimes","5","0","0"
"1-5","No","No","No","No","False","<25","M","Canada","Never","2","1","0"
"26-100","I don't know","No","Yes","Yes","False","<25","M","Canada","Always","5","0","0"
"6-25","No","No","No","No","False",">45","F","United States of America","Sometimes","3","3","1"
"6-25","I don't know","No","Maybe","No","False","<25","M","Bosnia and Herzegovina","Never","1","1","0"
"6-25","No","Maybe","Maybe","No","False","36-45","M","United Kingdom","Sometimes","2","0","1"
"More than 1000","No","No","No","No","False","36-45","M","Germany","Never","5","0","0"
"26-100","No","No","No","No","False","25-35","M","United States of America","Sometimes","3","3","1"
"100-500","Yes","Yes","Yes","Yes","True","36-45","M","United States of America","Sometimes","3","0","1"
"6-25","No","No","No","No","False","25-35","M","Netherlands","Never","3","3","1"
"100-500","I don't know","Yes","Maybe","Yes","True","25-35","M","Sweden","Sometimes","4","1","1"
"100-500","No","No","No","No","True",">45","F","United States of America","Sometimes","3","2","0"
"100-500","Yes","Yes","Yes","Yes","True","25-35","M","Netherlands","Sometimes","5","2","1"
"6-25","Yes","Yes","Yes","Yes","True",">45","M","United States of America","Sometimes","2","0","1"
"100-500","I don't know","No","Maybe","No","False","<25","M","Bosnia and Herzegovina","Never","2","0","0"
"100-500","Yes","Yes","No","Yes","True",">45","M","United States of America","Never","8","2","1"
"More than 1000","No","Yes","Yes","Yes","True","25-35","M","United States of America","Never","3","0","0"
"26-100","Yes","Maybe","Maybe","No","False","<25","M","United States of America","Never","5","1","0"
"26-100","Yes","Yes","Yes","Yes","True","25-35","F","United States of America","Sometimes","4","0","1"
"6-25","No","No","No","No","False",">45","M","United States of America","Always","5","0","0"
"More than 1000","Yes","Yes","Yes","Yes","True","36-45","M","United States of America","Never","6","2","1"
"6-25","Yes","Yes","Yes","Yes","True","25-35","F","United States of America","Sometimes","1","0","1"
"100-500","Yes","Maybe","Maybe","No","False","36-45","M","United States of America","Sometimes","4","0","0"
"1-5","Yes","Yes","No","Yes","False","25-35","M","Finland","Sometimes","2","1","0"
"6-25","Yes","Maybe","Maybe","No","False","25-35","M","United States of America","Sometimes","5","0","1"
"100-500","Yes","Yes","Yes","Yes","True","<25","F","United States of America","Sometimes","1","0","1"
"26-100","Yes","Yes","Yes","Yes","True","36-45","M","United States of America","Sometimes","6","2","1"
"More than 1000","Yes","Yes","Yes","Yes","True","25-35","F","United States of America","Sometimes","8","2","1"
"More than 1000","Yes","Yes","Yes","Yes","True","25-35","M","United States of America","Never","7","1","1"
"More than 1000","Yes","Yes","Maybe","Yes","True",">45","F","United States of America","Sometimes","6","0","0"
"More than 1000","Yes","Yes","Yes","Yes","True","25-35","F","United States of America","Sometimes","1","0","1"
"More than 1000","No","No","No","No","False","25-35","M","United States of America","Sometimes","2","2","2"
"1-5","No","Yes","Maybe","Yes","True","25-35","M","Austria","Never","1","0","1"
"100-500","Yes","Yes","Yes","Yes","True","25-35","M","United States of America","Never","5","5","1"
"26-100","I don't know","Yes","No","Yes","True","36-45","M","United States of America","Always","4","3","1"
"26-100","I don't know","Maybe","Yes","Yes","True","36-45","M","United States of America","Always","4","2","1"
"26-100","No","No","Maybe","No","False","36-45","M","United States of America","Sometimes","3","0","0"
"26-100","No","No","No","No","False","25-35","M","United States of America","Always","4","2","1"
"26-100","No","No","No","No","False","36-45","M","United States of America","Always","2","0","0"
"26-100","Yes","No","No","No","False","25-35","M","United States of America","Sometimes","4","0","1"
"26-100","No","No","No","No","False",">45","F","United States of America","Sometimes","7","5","0"
"100-500","No","No","No","No","False","25-35","M","United States of America","Always","4","4","1"
"26-100","No","No","No","No","False","25-35","M","United States of America","Always","3","0","0"
"26-100","No","No","No","No","False","25-35","M","United States of America","Sometimes","3","3","1"
"26-100","Yes","Yes","Yes","Yes","True","36-45","M","United States of America","Sometimes","5","2","1"
"6-25","I don't know","No","No","No","False","25-35","F","United States of America","Never","2","0","0"
"26-100","Yes","Maybe","No","No","False","36-45","M","United States of America","Always","4","1","0"
"26-100","Yes","Yes","Yes","Yes","True","36-45","M","United States of America","Always","3","0","0"
"More than 1000","I don't know","Maybe","No","No","True","36-45","F","United States of America","Sometimes","3","0","0"
"26-100","No","No","Maybe","No","False","36-45","M","United States of America","Always","5","3","0"
"1-5","I don't know","Maybe","Maybe","Yes","True","<25","M","United States of America","Sometimes","6","4","1"
"500-1000","Yes","No","No","No","False","25-35","M","United States of America","Sometimes","2","0","0"
"100-500","No","No","No","No","False","36-45","M","United States of America","Always","3","3","1"
"More than 1000","Yes","Yes","Yes","Yes","True","25-35","F","United States of America","Sometimes","3","0","0"
"More than 1000","Yes","Yes","Yes","Yes","True","25-35","M","Brazil","Never","3","0","0"
"6-25","Yes","Yes","Yes","Yes","True","36-45","M","New Zealand","Sometimes","5","4","2"
"26-100","I don't know","Maybe","Maybe","No","True","<25","F","United States of America","Never","7","0","1"
"More than 1000","Yes","Yes","Yes","Yes","True","36-45","F","United States of America","Sometimes","8","5","1"
"More than 1000","Yes","Yes","Yes","Yes","True",">45","F","United States of America","Sometimes","0","0","0"
"More than 1000","Yes","Yes","No","Yes","True",">45","M","Ireland","Sometimes","2","0","1"
"More than 1000","Yes","Yes","Yes","Yes","True",">45","M","United States of America","Never","4","0","1"
"More than 1000","No","Yes","No","Yes","True","25-35","M","United States of America","Never","4","0","1"
"26-100","No","No","No","No","False","36-45","M","United Kingdom","Sometimes","4","3","1"
"More than 1000","I don't know","No","Yes","No","True","<25","F","Sweden","Sometimes","4","2","0"
"More than 1000","Yes","Yes","Yes","Yes","True","25-35","M","United States of America","Sometimes","3","0","1"
"1-5","Yes","No","Maybe","No","False","25-35","M","Finland","Never","4","5","1"
"More than 1000","Yes","No","Maybe","Yes","False",">45","M","Germany","Sometimes","6","1","1"
"26-100","I don't know","Yes","Yes","Yes","True","25-35","F","United States of America","Always","4","0","1"
"100-500","No","No","No","No","False","36-45","M","United States of America","Never","3","1","0"
"100-500","Yes","Yes","Yes","Yes","True","<25","F","United States of America","Never","1","0","0"
"100-500","I don't know","Yes","Yes","Yes","True","<25","F","United States of America","Sometimes","7","0","0"
"More than 1000","Yes","Yes","No","Yes","True","25-35","M","Germany","Never","3","4","1"
"6-25","I don't know","Yes","Maybe","Yes","True","25-35","M","Netherlands","Never","2","1","0"
"More than 1000","No","No","Yes","Yes","True","25-35","M","United States of America","Always","4","4","1"
"26-100","Yes","Yes","Yes","Yes","True","36-45","M","United States of America","Sometimes","3","0","1"
"More than 1000","Yes","Yes","Yes","No","True",">45","M","United States of America","Sometimes","6","4","1"
"More than 1000","No","No","No","No","False","36-45","M","Sweden","Always","3","3","1"
"26-100","Yes","No","No","No","False","25-35","M","Canada","Never","2","0","1"
"6-25","No","No","Maybe","No","False","25-35","M","United States of America","Never","3","0","1"
"1-5","Yes","No","No","No","False","36-45","F","United States of America","Sometimes","1","2","1"
"26-100","No","Yes","Yes","Yes","True","25-35","F","United States of America","Sometimes","3","0","1"
"26-100","Yes","Yes","Yes","Yes","True","25-35","F","United States of America","Sometimes","3","1","0"
"6-25","Yes","Yes","Yes","No","True","25-35","F","United States of America","Never","2","0","1"
"100-500","Yes","Yes","No","Yes","True",">45","M","Ireland","Sometimes","5","1","1"
"6-25","I don't know","Yes","Yes","No","False","25-35","M","United States of America","Never","2","2","1"
"6-25","Yes","No","No","No","False","36-45","M","United States of America","Never","2","0","0"
"100-500","No","Maybe","Maybe","No","False","36-45","M","United States of America","Never","2","0","0"
"6-25","Yes","Yes","No","No","True","25-35","M","United Kingdom","Always","3","3","1"
