"B","E","F","G","H","I","J","K","L","M","N","O","P","DD","MM","OO","PP","QQ","RR","SS","TT","UU","VV","YY","AAA","BBB","CCC","DDD","EEE","FFF","HHH","LLL"
"100-500","I don't know","I am not sure","Yes","Yes","I don't know","Very easy","No","No","Maybe","Yes","Yes","No","I don't know","No","Maybe","No, I don't think they would","Somewhat open","No","No Entry","No","No","Maybe","No","False","Never","Sometimes","25-35","M","Australia","Australia","Always"
"100-500","Yes","I am not sure","No","No","I don't know","Neither easy nor difficult","Maybe","No","No","Maybe","I don't know","Yes","I don't know","No","Maybe","Maybe","Very open","Maybe/Not sure","No","Yes","Yes","Yes","Yes","True","Rarely","Often","36-45","M","United States of America","United States of America","Always"
"6-25","Yes","Yes","No","No","Yes","Somewhat easy","Maybe","No","Maybe","No","I don't know","No","Yes, always","No","Yes, I think it would","Maybe","Somewhat open","Yes, I observed","Yes","No","Yes","Maybe","Yes","True","Never","Sometimes","25-35","M","United States of America","United States of America","Sometimes"
"26-100","I don't know","No","No","I don't know","I don't know","Somewhat easy","Maybe","Maybe","No","No","No","No","Yes, always","No","Yes, I think it would","Yes, I think they would","Not applicable to me (I do not have a mental illness)","Yes, I observed","Yes","No","No","No","No","False","Not applicable to me","Not applicable to me","45<","F","United States of America","United States of America","Never"
"6-25","No","No","No","No","I don't know","Neither easy nor difficult","Yes","Maybe","No","Maybe","I don't know","No","No","No","Yes, I think it would","Yes, I think they would","Somewhat open","Yes, I observed","Yes","No","No","No","No","False","Not applicable to me","Not applicable to me","25-35","M","Australia","Australia","Sometimes"
"100-500","Yes","Yes","Yes","Yes","Yes","Somewhat easy","Maybe","No","Maybe","Yes","I don't know","Yes","Yes, always","No","Yes, I think it would","Maybe","Somewhat open","Maybe/Not sure","Yes","Yes","Yes","Maybe","Yes","True","Rarely","Often","36-45","M","United States of America","United States of America","Always"
"More than 1000","Yes","No","I don't know","I don't know","I don't know","Neither easy nor difficult","Maybe","Maybe","Yes","Maybe","I don't know","No","I don't know","No","Yes, I think it would","Maybe","Somewhat open","Maybe/Not sure","No","I don't know","Yes","No","No","True","Sometimes","Sometimes","25-35","M","United States of America","United States of America","Sometimes"
"6-25","Not eligible for coverage / N/A","No Entry","No","No","I don't know","Somewhat difficult","Yes","Yes","No","Yes","I don't know","No","Not Applicable","No","Yes, it has","Yes, I think they would","Somewhat not open","Yes, I experienced","Yes","No","No","Yes","No","True","Not applicable to me","Often",">25","M","Australia","Australia","Never"
"26-100","Yes","I am not sure","No","No","I don't know","Very difficult","Yes","Yes","No","No","No","Yes","I don't know","No","Yes, I think it would","Yes, I think they would","Somewhat open","Maybe/Not sure","Yes","Yes","Yes","No","Yes","True","Rarely","Often",">25","M","United States of America","United States of America","Sometimes"
"100-500","Yes","No","No","No","I don't know","Somewhat difficult","Maybe","Maybe","Maybe","No","No","Yes","Sometimes","No","Yes, it has","Maybe","Very open","Yes, I experienced","No Entry","Yes","Yes","Yes","Yes","True","Sometimes","Often","36-45","M","United States of America","United States of America","Always"
"100-500","No","I am not sure","No","No","I don't know","Neither easy nor difficult","Maybe","No","No","Maybe","I don't know","No","Sometimes","No","Yes, I think it would","Yes, I think they would","Somewhat open","No Entry","No Entry","Yes","Yes","Maybe","Yes","True","Not applicable to me","Often","25-35","F","Canada","Canada","Sometimes"
"1-5","No","No","No","No","No","Very easy","No","Maybe","Maybe","No","I don't know","Yes","Not Applicable","Yes","Yes, I think it would","Yes, I think they would","Very open","No","No Entry","No","No","No","No","False","Never","Never",">25","M","India","India","Never"
"More than 1000","Yes","I am not sure","No","No","Yes","Somewhat easy","Maybe","No","Yes","Maybe","I don't know","No","I don't know","No","Maybe","No, I don't think they would","Somewhat open","No","No Entry","No","No","No","No","False","Not applicable to me","Not applicable to me","36-45","M","Germany","Germany","Sometimes"
"100-500","I don't know","No","No","I don't know","I don't know","I don't know","Maybe","No","Maybe","Yes","I don't know","No","I don't know","Maybe","No, I don't think it would","Maybe","Somewhat open","No","No Entry","Yes","No","Maybe","No","True","Rarely","Often",">25","M","United Kingdom","United Kingdom","Never"
"6-25","Not eligible for coverage / N/A","No Entry","No","No","I don't know","Somewhat difficult","No","No","Maybe","Yes","No","No","Not Applicable","Maybe","Yes, I think it would","No, I don't think they would","Neutral","No","No Entry","No","No","No","No","False","Not applicable to me","Not applicable to me",">25","M","United Kingdom","United Kingdom","Never"
"6-25","I don't know","I am not sure","No","No","Yes","Neither easy nor difficult","Maybe","No","Yes","No","I don't know","No","Not Applicable","No","Maybe","No, I don't think they would","Somewhat open","No","No Entry","No","No","No","No","False","Not applicable to me","Not applicable to me","25-35","M","United States of America","United States of America","Sometimes"
"More than 1000","I don't know","I am not sure","No","I don't know","I don't know","Neither easy nor difficult","Maybe","Maybe","No","No","Yes","No","I don't know","Maybe","Maybe","Yes, I think they would","Somewhat open","No","No Entry","No","No","No","No","False","Rarely","Not applicable to me","36-45","M","United Kingdom","United Kingdom","Never"
"6-25","I don't know","I am not sure","No","No","I don't know","Very easy","No","No","Maybe","Maybe","I don't know","No","I don't know","Maybe","No, I don't think it would","No, I don't think they would","Somewhat open","No Entry","No Entry","Yes","Maybe","Maybe","No","False","Not applicable to me","Sometimes","25-35","M","New Zealand","New Zealand","Always"
"26-100","I don't know","No","No","No","I don't know","Very difficult","Maybe","No","No","No","I don't know","No","Not Applicable","No","Yes, I think it would","Yes, I think they would","Not open at all","Maybe/Not sure","No","I don't know","Maybe","Maybe","No","False","Not applicable to me","Sometimes","36-45","M","United Kingdom","United Kingdom","Sometimes"
"26-100","Yes","No","No","No","I don't know","Very difficult","Maybe","No","No","No","No","No","I don't know","No","Yes, I think it would","Yes, I think they would","Somewhat open","Maybe/Not sure","No Entry","Yes","Yes","Yes","No","True","Not applicable to me","Often","25-35","F","United Kingdom","United Kingdom","Never"
"6-25","No","No","No","No","I don't know","I don't know","Yes","Maybe","No","No","I don't know","No","I don't know","Maybe","Yes, I think it would","Maybe","Not applicable to me (I do not have a mental illness)","No Entry","No Entry","I don't know","No","No","No","False","Not applicable to me","Not applicable to me",">25","M","United Kingdom","United Kingdom","Never"
"100-500","Yes","I am not sure","I don't know","Yes","I don't know","I don't know","Maybe","No","Maybe","Maybe","I don't know","No","I don't know","Maybe","Maybe","No, I don't think they would","Somewhat open","Maybe/Not sure","No Entry","Yes","Yes","Yes","Yes","True","Rarely","Sometimes","25-35","M","United States of America","United States of America","Always"
"More than 1000","Yes","Yes","No","No","No","Very difficult","Maybe","No","No","No","No","No","I don't know","No","Yes, I think it would","Yes, I think they would","Somewhat open","No","No Entry","Yes","Yes","Yes","Yes","True","Sometimes","Often","36-45","M","United States of America","United States of America","Sometimes"
"100-500","I don't know","No","I don't know","I don't know","I don't know","Very easy","No","No","Yes","Yes","Yes","No","I don't know","Maybe","No, I don't think it would","No, I don't think they would","Somewhat open","Maybe/Not sure","No","I don't know","No","No","No","False","Not applicable to me","Not applicable to me","25-35","M","United States of America","United States of America","Always"
"6-25","I don't know","I am not sure","No","No","I don't know","I don't know","No","No","Maybe","Maybe","I don't know","No","I don't know","No","Yes, I think it would","Maybe","Not applicable to me (I do not have a mental illness)","No","No Entry","No","No","No","No","False","Not applicable to me","Not applicable to me","36-45","M","United States of America","United States of America","Sometimes"
"500-1000","I don't know","No","No","Yes","I don't know","I don't know","Maybe","No","No","No","No","No","I don't know","Maybe","Yes, I think it would","Yes, I think they would","Very open","No","No Entry","Yes","Yes","Yes","Yes","True","Rarely","Often","36-45","F","France","France","Never"
"More than 1000","Yes","I am not sure","No","I don't know","I don't know","Somewhat easy","No","No","No","No","I don't know","No","Sometimes","Maybe","Maybe","Maybe","Somewhat open","No","No Entry","Yes","Yes","Yes","Yes","False","Rarely","Sometimes","25-35","F","United States of America","United States of America","Sometimes"
"More than 1000","Yes","Yes","Yes","Yes","Yes","Somewhat easy","No","No","Maybe","Yes","Yes","No","I don't know","Maybe","No, I don't think it would","Maybe","Somewhat open","No Entry","No Entry","Yes","Yes","No","No","False","Not applicable to me","Not applicable to me","36-45","M","United States of America","United States of America","Sometimes"
"6-25","Yes","No","No","No","I don't know","Somewhat difficult","No","No","Maybe","Maybe","Yes","No","Yes, always","Maybe","Maybe","Maybe","Somewhat open","No","No Entry","No","No","No","No","False","Not applicable to me","Not applicable to me","45<","M","United States of America","United States of America","Sometimes"
"26-100","No","No","No","No","I don't know","Somewhat easy","No","No","Maybe","Maybe","I don't know","No","Not Applicable","Maybe","Maybe","Maybe","Somewhat open","No","No Entry","No","No","No","No","False","Sometimes","Often","25-35","M","Romania","United States of America","Always"
"500-1000","Yes","Yes","No","I don't know","Yes","Neither easy nor difficult","No","No","Maybe","Yes","I don't know","No","Yes, always","Maybe","Maybe","Maybe","Very open","No","No Entry","I don't know","Yes","Yes","No","True","Rarely","Sometimes","25-35","M","United States of America","United States of America","Sometimes"
"26-100","I don't know","No","No","No","I don't know","I don't know","No","No","Maybe","No","No","No","I don't know","No","Yes, I think it would","No, I don't think they would","Somewhat open","No","No Entry","No","Yes","No","Yes","True","Not applicable to me","Not applicable to me",">25","M","United States of America","United States of America","Sometimes"
"6-25","I don't know","I am not sure","I don't know","I don't know","I don't know","Somewhat easy","No","No","Maybe","Yes","I don't know","No","I don't know","No","Maybe","Maybe","Somewhat open","Maybe/Not sure","No Entry","I don't know","No","No","No","False","Not applicable to me","Not applicable to me","36-45","M","United States of America","United States of America","Sometimes"
"6-25","Yes","I am not sure","No","No","I don't know","Very difficult","Yes","Maybe","Maybe","Maybe","Yes","Yes","I don't know","Maybe","Yes, I think it would","Yes, I think they would","Not applicable to me (I do not have a mental illness)","Yes, I observed","Yes","Yes","No","No","No","False","Not applicable to me","Not applicable to me","25-35","M","United States of America","United States of America","Sometimes"
"26-100","No","No","No","No","No","Very difficult","Yes","Yes","No","No","No","No","I don't know","No","Yes, I think it would","Yes, I think they would","Neutral","Yes, I observed","Maybe","I don't know","Maybe","Maybe","No","False","Often","Often","36-45","M","Poland","Poland","Never"
"6-25","Yes","No","No","I don't know","Yes","Very difficult","No","No","No","Maybe","I don't know","No","Yes, always","No","Yes, I think it would","No, I don't think they would","Not open at all","Maybe/Not sure","No","No","No","No","No","True","Not applicable to me","Not applicable to me","36-45","M","United States of America","United States of America","Sometimes"
"26-100","Yes","Yes","No","No","Yes","Somewhat easy","No","No","Yes","Yes","No","No","I don't know","Yes","Maybe","No, they do not","Very open","Maybe/Not sure","No","Yes","Yes","Yes","Yes","True","Rarely","Often","25-35","M","United States of America","United States of America","Sometimes"
"More than 1000","Yes","I am not sure","Yes","I don't know","I don't know","Somewhat easy","Maybe","No","Maybe","Yes","I don't know","No","Not Applicable","No","Maybe","Maybe","Somewhat open","No Entry","No Entry","No","No","No","No","False","Not applicable to me","Not applicable to me","36-45","M","United Kingdom","United Kingdom","Sometimes"
"100-500","Yes","Yes","No","I don't know","Yes","Somewhat easy","Yes","Maybe","Yes","Yes","No","Yes","Yes, always","No","Yes, it has","Yes, they do","Very open","Yes, I experienced","Yes","I don't know","Yes","Yes","Yes","True","Sometimes","Often","25-35","F","United States of America","United States of America","Always"
"6-25","No","I am not sure","No","No","I don't know","Neither easy nor difficult","Maybe","No","Maybe","No","I don't know","No","I don't know","Maybe","Maybe","No, I don't think they would","Somewhat open","Maybe/Not sure","No Entry","Yes","No","No","No","False","Not applicable to me","Not applicable to me",">25","M","Bulgaria","Bulgaria","Sometimes"
"More than 1000","I don't know","I am not sure","Yes","Yes","I don't know","Very difficult","Yes","No","No","No","I don't know","No","I don't know","No","No, I don't think it would","No, I don't think they would","Somewhat open","No","No Entry","Yes","Yes","Yes","Yes","True","Rarely","Often","25-35","F","United States of America","United States of America","Sometimes"
"6-25","Yes","Yes","Yes","Yes","Yes","Neither easy nor difficult","No","No","Maybe","No","Yes","No","I don't know","No","Yes, I think it would","Yes, I think they would","Somewhat open","Yes, I observed","Yes","No","Yes","Yes","No","True","Never","Sometimes",">25","M","United States of America","United States of America","Never"
"More than 1000","Yes","I am not sure","I don't know","Yes","Yes","Neither easy nor difficult","Maybe","No","No","Maybe","Yes","No","No","No","Yes, I think it would","Yes, I think they would","Somewhat open","Yes, I observed","No","Yes","Maybe","No","No","False","Not applicable to me","Not applicable to me","25-35","M","Canada","Canada","Sometimes"
"26-100","No","I am not sure","Yes","I don't know","Yes","Somewhat difficult","Yes","No","No","No","I don't know","No","I don't know","Maybe","Yes, I think it would","Yes, I think they would","Somewhat open","Yes, I experienced","No","No","Yes","Yes","Yes","True","Sometimes","Often","25-35","M","United States of America","United States of America","Sometimes"
"26-100","I don't know","I am not sure","No","No","I don't know","Somewhat difficult","Maybe","No","No","No","I don't know","No","No","No","Yes, I think it would","Yes, I think they would","Somewhat open","No","No Entry","I don't know","Yes","Yes","Yes","True","Not applicable to me","Often","25-35","M","Canada","Canada","Sometimes"
"100-500","Yes","No","No","I don't know","I don't know","Very easy","Maybe","No","No","Maybe","I don't know","No","I don't know","No","Yes, I think it would","Yes, I think they would","Somewhat open","Maybe/Not sure","No","Yes","Yes","Maybe","Yes","True","Sometimes","Often","25-35","M","United States of America","United States of America","Sometimes"
"6-25","Yes","I am not sure","No","I don't know","I don't know","Somewhat easy","Maybe","No","Yes","Yes","Yes","No","I don't know","Maybe","Maybe","Maybe","Somewhat open","No","No Entry","Yes","Yes","Yes","Yes","True","Often","Often","45<","M","United States of America","United States of America","Sometimes"
"More than 1000","Yes","I am not sure","Yes","No","Yes","Very difficult","Yes","No","Yes","No","No","Yes","I don't know","No","Yes, I think it would","No, they do not","Neutral","Yes, I observed","Yes","I don't know","Yes","No","Yes","True","Sometimes","Often","25-35","F","Canada","Canada","Sometimes"
"6-25","I don't know","I am not sure","I don't know","Yes","Yes","Very easy","No","No","Maybe","Maybe","Yes","No","I don't know","Maybe","No, I don't think it would","No, I don't think they would","Neutral","No","No Entry","No","No","No","No","False","Not applicable to me","Not applicable to me","36-45","M","Canada","Canada","Sometimes"
"6-25","I don't know","No","I don't know","I don't know","I don't know","Very easy","No","No","Yes","Yes","Yes","No","I don't know","Maybe","Maybe","No, I don't think they would","Somewhat open","Maybe/Not sure","No","No","No","No","No","False","Not applicable to me","Not applicable to me","36-45","M","United States of America","United States of America","Sometimes"
"100-500","I don't know","No","No","No","I don't know","Somewhat easy","Maybe","No","Yes","Maybe","I don't know","No","I don't know","No","Maybe","No, I don't think they would","Very open","No Entry","No Entry","No","Maybe","No","No","False","Not applicable to me","Not applicable to me","25-35","M","Canada","Canada","Sometimes"
"100-500","I don't know","I am not sure","No","No","I don't know","I don't know","Maybe","No","Maybe","Yes","I don't know","No","I don't know","No","Maybe","No, I don't think they would","Somewhat open","No","No Entry","Yes","Yes","Maybe","No","True","Sometimes","Often","25-35","F","United States of America","United States of America","Sometimes"
"More than 1000","No","No Entry","Yes","Yes","I don't know","Somewhat easy","No","No","Maybe","Yes","No","No","I don't know","Maybe","Maybe","Maybe","Somewhat not open","Yes, I experienced","Maybe","Yes","Yes","Maybe","Yes","True","Never","Rarely","36-45","M","United States of America","United States of America","Never"
"More than 1000","I don't know","I am not sure","Yes","Yes","Yes","Very easy","No","No","Yes","Yes","Yes","No","I don't know","No","Yes, I think it would","Maybe","Somewhat not open","No","No Entry","I don't know","No","No","No","False","Sometimes","Often","45<","M","United States of America","United States of America","Sometimes"
"6-25","I don't know","No","No","I don't know","I don't know","Very easy","No","No","Maybe","Yes","I don't know","No","I don't know","No","Maybe","Yes, they do","Not open at all","No","No Entry","Yes","Yes","Maybe","Yes","True","Sometimes","Sometimes","25-35","M","United States of America","United States of America","Never"
"1-5","No","No Entry","No","No","I don't know","Very easy","No","No","Yes","Yes","Yes","No","I don't know","Maybe","Maybe","No, I don't think they would","Somewhat open","No","No Entry","No","No","No","No","False","Not applicable to me","Not applicable to me","25-35","M","United States of America","United States of America","Always"
"100-500","I don't know","I am not sure","No","No","I don't know","Somewhat difficult","Yes","Maybe","No","No","No","Yes","Yes, always","No","Yes, I think it would","Yes, I think they would","Neutral","Yes, I observed","Yes","No","No","No","No","False","Not applicable to me","Not applicable to me","25-35","M","United States of America","United States of America","Always"
"1-5","Not eligible for coverage / N/A","No Entry","No","Yes","Yes","Very easy","No","No","Maybe","Yes","Yes","No","Sometimes","No","No, I don't think it would","No, I don't think they would","Somewhat open","No","No Entry","Yes","No","Yes","Yes","True","Rarely","Often","25-35","F","United States of America","United States of America","Sometimes"
"More than 1000","I don't know","No","No","No","I don't know","Very difficult","Yes","No","No","No","No","No","No","No","Yes, I think it would","Yes, I think they would","Not open at all","Yes, I observed","No","Yes","Yes","Yes","Yes","True","Not applicable to me","Not applicable to me","25-35","M","United Kingdom","United Kingdom","Never"
"26-100","Yes","Yes","No","I don't know","I don't know","Somewhat easy","Yes","Maybe","No","Maybe","No","No","Yes, always","No","Yes, I think it would","Maybe","Somewhat open","No","No Entry","Yes","Yes","Yes","Yes","True","Rarely","Often","25-35","F","United States of America","United States of America","Sometimes"
"100-500","I don't know","No","No","I don't know","I don't know","Very difficult","Yes","Maybe","Maybe","Maybe","No","Yes","Sometimes","No","Maybe","Maybe","Somewhat not open","Yes, I observed","Yes","I don't know","Maybe","Maybe","Yes","True","Rarely","Rarely","36-45","M","United States of America","United States of America","Always"
"6-25","I don't know","I am not sure","No","No","I don't know","Somewhat easy","Maybe","No","Maybe","Maybe","I don't know","No","I don't know","No","Yes, it has","Maybe","Very open","Yes, I experienced","No Entry","No","Yes","No","Yes","True","Sometimes","Sometimes","25-35","F","Germany","Germany","Always"
"More than 1000","No","No","No","No","I don't know","I don't know","No","No","Maybe","Maybe","I don't know","No","Yes, always","No","Yes, I think it would","Yes, I think they would","Somewhat open","No","No Entry","No","No","Maybe","No","False","Never","Never","36-45","M","United States of America","United States of America","Always"
"More than 1000","Yes","Yes","I don't know","Yes","Yes","Somewhat easy","Maybe","No","Maybe","Yes","I don't know","No","I don't know","No","Maybe","Maybe","Somewhat open","No","No Entry","I don't know","No","No","No","False","Not applicable to me","Not applicable to me","25-35","F","United States of America","United States of America","Never"
"6-25","Not eligible for coverage / N/A","No Entry","No","I don't know","I don't know","Somewhat easy","No","No","Maybe","Yes","Yes","No","I don't know","No","Maybe","Maybe","Neutral","Yes, I observed","Yes","I don't know","Maybe","Maybe","No","False","Not applicable to me","Not applicable to me","25-35","F","Other","Other","Always"
"More than 1000","Yes","Yes","No","Yes","No","Very easy","Yes","No","No","No","No","No","No","No","Yes, I think it would","Yes, I think they would","Somewhat not open","Yes, I observed","Yes","Yes","Maybe","Maybe","Yes","False","Rarely","Often","36-45","M","United States of America","United States of America","Sometimes"
"26-100","I don't know","No","No","I don't know","I don't know","Somewhat difficult","Maybe","Maybe","No","No","No","No","Sometimes","Maybe","Maybe","Maybe","Somewhat not open","Yes, I observed","Yes","Yes","Yes","No","Yes","True","Sometimes","Sometimes","45<","M","United States of America","United States of America","Sometimes"
"More than 1000","I don't know","No","No","I don't know","I don't know","Somewhat easy","No","No","Maybe","Yes","Yes","No","I don't know","Yes","No, I don't think it would","No, I don't think they would","Somewhat open","No","No Entry","No","No","Maybe","No","False","Rarely","Sometimes","25-35","M","United States of America","United States of America","Sometimes"
"26-100","I don't know","I am not sure","No","I don't know","Yes","Neither easy nor difficult","Maybe","No","No","No","Yes","No","No","Maybe","Yes, I think it would","Maybe","Somewhat open","No","No Entry","No","No","No","No","False","Not applicable to me","Not applicable to me","25-35","M","France","France","Sometimes"
"26-100","I don't know","I am not sure","Yes","No","I don't know","Somewhat easy","No","No","Yes","Yes","Yes","No","No","Yes","Yes, it has","No, they do not","Somewhat open","Yes, I experienced","Yes","No","Yes","Yes","Yes","True","Sometimes","Often","45<","M","United States of America","United States of America","Sometimes"
"500-1000","I don't know","No","No","Yes","Yes","Neither easy nor difficult","No","No","Yes","Yes","I don't know","No","I don't know","Maybe","Yes, I think it would","Maybe","Somewhat open","Maybe/Not sure","No","I don't know","Maybe","Maybe","No","True","Not applicable to me","Not applicable to me","25-35","M","United States of America","United States of America","Sometimes"
"1-5","No","No Entry","No","No","No","Very easy","No","No","Yes","Yes","I don't know","No","No","Yes","No, I don't think it would","No, I don't think they would","Neutral","No","No Entry","Yes","Maybe","Maybe","No","False","Rarely","Rarely","25-35","M","Iran","Iran","Sometimes"
"More than 1000","Not eligible for coverage / N/A","No Entry","No","Yes","I don't know","Neither easy nor difficult","Maybe","No","No","Maybe","No","No","I don't know","Maybe","Yes, I think it would","Yes, I think they would","Neutral","Maybe/Not sure","Maybe","Yes","Maybe","No","No","True","Not applicable to me","Not applicable to me","45<","M","Switzerland","Switzerland","Never"
"More than 1000","Yes","Yes","No","I don't know","I don't know","Somewhat difficult","Yes","Maybe","Maybe","Maybe","No","No","I don't know","Maybe","Yes, I think it would","Yes, I think they would","Neutral","Maybe/Not sure","Maybe","I don't know","Yes","Maybe","Yes","True","Sometimes","Often","25-35","M","United States of America","United States of America","Never"
"26-100","No","No Entry","No","No","I don't know","Neither easy nor difficult","Maybe","No","Yes","Yes","I don't know","No","I don't know","No","Yes, I think it would","Maybe","Somewhat not open","Maybe/Not sure","Maybe","No","No","No","No","False","Not applicable to me","Not applicable to me","36-45","M","Ireland","Ireland","Sometimes"
"6-25","I don't know","No","No","I don't know","I don't know","Somewhat difficult","Maybe","No","No","Yes","I don't know","No","I don't know","No","No, I don't think it would","Maybe","Not open at all","Maybe/Not sure","No","No","Maybe","Maybe","No","False","Not applicable to me","Sometimes","25-35","M","United States of America","United States of America","Never"
"6-25","I don't know","No","No","Yes","Yes","I don't know","No","No","No","Yes","Yes","Yes","I don't know","No","Yes, it has","No, I don't think they would","Somewhat not open","No","No Entry","Yes","Yes","Yes","No","False","Not applicable to me","Often","36-45","F","United States of America","United States of America","Always"
"500-1000","Not eligible for coverage / N/A","No Entry","I don't know","I don't know","I don't know","Very difficult","Yes","Maybe","No","No","No","No","I don't know","No","Yes, I think it would","Yes, I think they would","Neutral","Maybe/Not sure","No Entry","No","Maybe","No","No","False","Not applicable to me","Not applicable to me","25-35","M","South Africa","South Africa","Never"
"100-500","Yes","Yes","No","No","Yes","Somewhat difficult","Maybe","No","Maybe","Maybe","No","No","Yes, always","No","Yes, I think it would","Yes, I think they would","Somewhat open","Yes, I experienced","No","I don't know","Yes","Yes","Yes","False","Never","Often","25-35","F","Germany","Germany","Never"
"More than 1000","No","Yes","No","No","I don't know","Somewhat easy","Maybe","No","No","No","No","No","Not Applicable","No","Yes, I think it would","Yes, I think they would","Somewhat open","No","No Entry","Yes","No","No","No","False","Not applicable to me","Not applicable to me","36-45","M","United States of America","United States of America","Sometimes"
"1-5","No","Yes","No","No","I don't know","Somewhat easy","Maybe","No","Maybe","Maybe","Yes","No","I don't know","No","Maybe","Maybe","Somewhat open","No","No Entry","Yes","Yes","Maybe","Yes","True","Rarely","Sometimes","25-35","M","United States of America","United States of America","Sometimes"
"6-25","No","No Entry","No","No","I don't know","Somewhat easy","No","No","No","No","I don't know","No","I don't know","No","Maybe","Maybe","Somewhat open","No","No Entry","Yes","Yes","Yes","Yes","True","Sometimes","Often","25-35","M","Canada","Canada","Never"
"26-100","Not eligible for coverage / N/A","I am not sure","Yes","No","Yes","Very easy","No","No","Yes","Yes","Yes","No","Sometimes","No","No, I don't think it would","No, I don't think they would","Very open","No","No Entry","Yes","Yes","Yes","Yes","True","Rarely","Often","25-35","M","Australia","Australia","Sometimes"
"26-100","Yes","Yes","No","I don't know","Yes","Somewhat easy","Maybe","No","Maybe","Yes","Yes","No","Not Applicable","Maybe","Yes, I think it would","Maybe","Somewhat open","No","No Entry","Yes","Yes","Yes","Yes","True","Rarely","Often",">25","M","United States of America","United States of America","Never"
"6-25","No","No","No","No","No","I don't know","Maybe","No","No","No","No","No","Not Applicable","No","Maybe","Maybe","Neutral","Maybe/Not sure","Maybe","No","No","No","No","False","Sometimes","Sometimes",">25","M","India","India","Sometimes"
"6-25","No","No Entry","Yes","No","Yes","Very easy","No","No","Maybe","Maybe","I don't know","No","I don't know","No","Maybe","No, I don't think they would","Somewhat open","Maybe/Not sure","Maybe","No","No","No","No","False","Not applicable to me","Not applicable to me","36-45","M","France","France","Always"
"26-100","I don't know","No","No","I don't know","I don't know","Very easy","No","No","No","Maybe","Yes","No","I don't know","Yes","Maybe","Maybe","Somewhat not open","No","No Entry","No","No","No","No","False","Not applicable to me","Not applicable to me","25-35","M","France","France","Sometimes"
"26-100","I don't know","I am not sure","I don't know","I don't know","I don't know","Very easy","No","No","Yes","Yes","Yes","No","I don't know","Yes","Maybe","Maybe","Somewhat open","No","No Entry","No","No","No","No","False","Not applicable to me","Not applicable to me","25-35","M","United Kingdom","United Kingdom","Sometimes"
"100-500","I don't know","No Entry","I don't know","I don't know","I don't know","I don't know","No","No","Maybe","Maybe","I don't know","No","I don't know","Maybe","Maybe","Maybe","Neutral","No","No Entry","I don't know","No","No","No","False","Not applicable to me","Not applicable to me","25-35","F","Germany","Germany","Never"
"500-1000","I don't know","No","No","I don't know","I don't know","Very easy","No","No","No","Maybe","I don't know","No","I don't know","No","Maybe","Maybe","Not open at all","No","No Entry","Yes","Maybe","Maybe","No","False","Not applicable to me","Not applicable to me","25-35","M","United States of America","United States of America","Sometimes"
"6-25","No","I am not sure","Yes","No","I don't know","Somewhat easy","No","No","Maybe","Yes","I don't know","No","Not Applicable","Maybe","Yes, I think it would","Maybe","Somewhat open","No","No Entry","I don't know","Yes","No","Yes","False","Sometimes","Sometimes","36-45","M","Germany","Germany","Sometimes"
"1-5","No","Yes","No","No","No","Somewhat easy","Maybe","No","Maybe","Maybe","I don't know","No","Yes, always","Maybe","Maybe","Maybe","Very open","Yes, I observed","Maybe","Yes","Yes","Yes","Yes","True","Rarely","Often",">25","O","United States of America","United States of America","Always"
"6-25","Yes","Yes","Yes","Yes","No","Very easy","Maybe","No","Maybe","Yes","No","No","Sometimes","Maybe","Maybe","Maybe","Somewhat open","No","No Entry","Yes","No","No","No","False","Not applicable to me","Not applicable to me","25-35","M","Germany","Germany","Sometimes"
"More than 1000","I don't know","No","I don't know","I don't know","I don't know","Somewhat easy","Yes","Maybe","No","No","I don't know","No","Not Applicable","No","Maybe","Maybe","Somewhat open","No","No Entry","No","No","Maybe","No","False","Not applicable to me","Not applicable to me","25-35","M","United States of America","United States of America","Sometimes"
"26-100","Yes","I am not sure","No","No","Yes","Somewhat difficult","Maybe","No","Maybe","Maybe","I don't know","No","I don't know","No","Maybe","Yes, I think they would","Not applicable to me (I do not have a mental illness)","No Entry","No Entry","No","No","No","No","False","Not applicable to me","Not applicable to me",">25","F","United States of America","United States of America","Sometimes"
"6-25","Not eligible for coverage / N/A","I am not sure","No","I don't know","I don't know","Somewhat difficult","Maybe","Maybe","Yes","Maybe","No","No","Not Applicable","Maybe","Yes, I think it would","No, I don't think they would","Not applicable to me (I do not have a mental illness)","No","No Entry","No","No","No","No","False","Not applicable to me","Not applicable to me","25-35","M","United Kingdom","United Kingdom","Always"
"26-100","Yes","I am not sure","No","No","Yes","Somewhat easy","No","No","Maybe","Yes","I don't know","Yes","Sometimes","No","Maybe","No, I don't think they would","Very open","Maybe/Not sure","No","No","Maybe","No","No","False","Not applicable to me","Not applicable to me","25-35","M","United States of America","United States of America","Never"
"500-1000","No","No Entry","I don't know","No","I don't know","Somewhat easy","No","No","Maybe","Yes","Yes","No","I don't know","No","Maybe","No, I don't think they would","Somewhat open","No","No Entry","No","No","No","No","False","Not applicable to me","Not applicable to me","25-35","M","Italy","Italy","Never"
"100-500","I don't know","I am not sure","Yes","I don't know","Yes","Very easy","No","No","Yes","Yes","Yes","No","I don't know","Maybe","Maybe","Maybe","Not applicable to me (I do not have a mental illness)","No","No Entry","No","No","No","No","False","Not applicable to me","Not applicable to me","25-35","M","Bulgaria","Bulgaria","Always"
