B,C,E,F,G,H,I,J,K,L,M,N,O,P,Y,Z,AA,BB,CC,DD,EE,FF,GG,HH,II,JJ,KK,MM,OO,PP,QQ,RR,SS,TT,UU,VV,WW,YY,ZZ,AAA,BBB,CCC,DDD,EEE,FFF,GGG,HHH,III,JJJ,LLL
6-25,1.0,No,I am not sure,No,No,I don't know,Neither easy nor difficult,Maybe,No,Maybe,No,I don't know,No,1,"No, none did",N/A (not currently aware),I don't know,None did,I don't know,I don't know,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,Maybe,Maybe,"No, I don't think they would",Somewhat open,Maybe/Not sure,No Entry,Yes,No,No,N/A,No,N/A,0,Not applicable to me,Not applicable to me,24,M,Bulgaria,No Entry,Bulgaria,No Entry,Back-end Developer,Sometimes
More than 1000,0.0,I don't know,I am not sure,Yes,Yes,I don't know,Very difficult,Yes,No,No,No,I don't know,No,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,None of them,"No, at none of my previous employers",Some of my previous employers,Some did,None of them,Maybe,No,"No, I don't think it would","No, I don't think they would",Somewhat open,No,No Entry,Yes,Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)",1,Rarely,Often,27,F,United States of America,New York,United States of America,New York,Supervisor/Team Lead|Back-end Developer|Front-end Developer,Sometimes
6-25,1.0,Yes,Yes,Yes,Yes,Yes,Neither easy nor difficult,No,No,Maybe,No,Yes,No,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,Maybe,No,"Yes, I think it would","Yes, I think they would",Somewhat open,"Yes, I observed",Yes,No,Yes,Yes,Substance Use Disorder|Addictive Disorder,No,N/A,1,Never,Sometimes,25,M,United States of America,Oklahoma,United States of America,Oklahoma,One-person shop,Never
More than 1000,0.0,Yes,I am not sure,I don't know,Yes,Yes,Neither easy nor difficult,Maybe,No,No,Maybe,Yes,No,1,"No, none did",N/A (not currently aware),None did,None did,No,Some of them,None of them,"No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,Maybe,No,"Yes, I think it would","Yes, I think they would",Somewhat open,"Yes, I observed",No,Yes,Maybe,No,N/A,No,N/A,0,Not applicable to me,Not applicable to me,33,M,Canada,No Entry,Canada,No Entry,Supervisor/Team Lead|Dev Evangelist/Advocate|DevOps/SysAdmin|Support|Back-end Developer|Designer|Front-end Developer,Sometimes
26-100,0.0,No,I am not sure,Yes,I don't know,Yes,Somewhat difficult,Yes,No,No,No,I don't know,No,1,Some did,I was aware of some,None did,None did,I don't know,"Yes, all of them",Some of them,Some of my previous employers,"No, at none of my previous employers",I don't know,Some of them,Maybe,Maybe,"Yes, I think it would","Yes, I think they would",Somewhat open,"Yes, I experienced",No,No,Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",1,Sometimes,Often,34,M,United States of America,New York,United States of America,New York,Support,Sometimes
26-100,1.0,I don't know,I am not sure,No,No,I don't know,Somewhat difficult,Maybe,No,No,No,I don't know,No,1,"No, none did",N/A (not currently aware),None did,None did,No,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,Maybe,No,"Yes, I think it would","Yes, I think they would",Somewhat open,No,No Entry,I don't know,Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Eating Disorder (Anorexia, Bulimia, etc)",Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",1,Not applicable to me,Often,27,M,Canada,No Entry,Canada,No Entry,Designer,Sometimes
100-500,1.0,Yes,No,No,I don't know,I don't know,Very easy,Maybe,No,No,Maybe,I don't know,No,1,Some did,"No, I only became aware later",None did,Some did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,Maybe,No,"Yes, I think it would","Yes, I think they would",Somewhat open,Maybe/Not sure,No,Yes,Yes,Maybe,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",1,Sometimes,Often,33,M,United States of America,New Hampshire,United States of America,New Hampshire,Support,Sometimes
6-25,1.0,Yes,I am not sure,No,I don't know,I don't know,Somewhat easy,Maybe,No,Yes,Yes,Yes,No,1,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Maybe,Maybe,Maybe,Maybe,Somewhat open,No,No Entry,Yes,Yes,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)|Attention Deficit Hyperactivity Disorder",Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)|Attention Deficit Hyperactivity Disorder",1,Often,Often,50,M,United States of America,Minnesota,United States of America,Minnesota,DevOps/SysAdmin,Sometimes
More than 1000,1.0,Yes,I am not sure,Yes,No,Yes,Very difficult,Yes,No,Yes,No,No,Yes,1,I don't know,N/A (not currently aware),I don't know,None did,I don't know,I don't know,None of them,"No, at none of my previous employers",I don't know,I don't know,None of them,Maybe,No,"Yes, I think it would","No, they do not",Neutral,"Yes, I observed",Yes,I don't know,Yes,No,N/A,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Eating Disorder (Anorexia, Bulimia, etc)|Other",1,Sometimes,Often,32,F,Canada,No Entry,Canada,No Entry,Supervisor/Team Lead|Sales,Sometimes
6-25,1.0,I don't know,I am not sure,I don't know,Yes,Yes,Very easy,No,No,Maybe,Maybe,Yes,No,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,"No, at none of my previous employers",I don't know,I don't know,None of them,Maybe,Maybe,"No, I don't think it would","No, I don't think they would",Neutral,No,No Entry,No,No,No,N/A,No,N/A,0,Not applicable to me,Not applicable to me,39,M,Canada,No Entry,Canada,No Entry,Front-end Developer,Sometimes
6-25,1.0,I don't know,No,I don't know,I don't know,I don't know,Very easy,No,No,Yes,Yes,Yes,No,1,I don't know,N/A (not currently aware),None did,None did,I don't know,None of them,None of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Yes,Maybe,Maybe,"No, I don't think they would",Somewhat open,Maybe/Not sure,No,No,No,No,N/A,No,N/A,0,Not applicable to me,Not applicable to me,36,M,United States of America,Minnesota,United States of America,Minnesota,Back-end Developer|Front-end Developer|Designer,Sometimes
100-500,1.0,I don't know,No,No,No,I don't know,Somewhat easy,Maybe,No,Yes,Maybe,I don't know,No,1,I don't know,N/A (not currently aware),None did,Some did,I don't know,I don't know,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,No,Maybe,"No, I don't think they would",Very open,No Entry,No Entry,No,Maybe,No,N/A,No,N/A,0,Not applicable to me,Not applicable to me,34,M,Canada,No Entry,Canada,No Entry,Front-end Developer,Sometimes
100-500,1.0,I don't know,I am not sure,No,No,I don't know,I don't know,Maybe,No,Maybe,Yes,I don't know,No,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,None of them,No,No,Maybe,"No, I don't think they would",Somewhat open,No,No Entry,Yes,Yes,Maybe,"Anxiety Disorder (Generalized, Social, Phobia, etc)",No,N/A,1,Sometimes,Often,31,F,United States of America,New York,United States of America,New York,Front-end Developer,Sometimes
More than 1000,0.0,No,No Entry,Yes,Yes,I don't know,Somewhat easy,No,No,Maybe,Yes,No,No,1,"No, none did",I was aware of some,None did,None did,I don't know,I don't know,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Yes,Maybe,Maybe,Maybe,Somewhat not open,"Yes, I experienced",Maybe,Yes,Yes,Maybe,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",1,Never,Rarely,36,M,United States of America,Texas,United States of America,Texas,DevOps/SysAdmin|Back-end Developer|Front-end Developer|Designer,Never
More than 1000,0.0,I don't know,I am not sure,Yes,Yes,Yes,Very easy,No,No,Yes,Yes,Yes,No,1,I don't know,"No, I only became aware later",None did,None did,I don't know,I don't know,Some of them,Some of my previous employers,I don't know,I don't know,None of them,No,No,"Yes, I think it would",Maybe,Somewhat not open,No,No Entry,I don't know,No,No,N/A,No,N/A,0,Sometimes,Often,48,M,United States of America,Minnesota,United States of America,Minnesota,Other|DevOps/SysAdmin|Support|Back-end Developer,Sometimes
6-25,1.0,I don't know,No,No,I don't know,I don't know,Very easy,No,No,Maybe,Yes,I don't know,No,1,I don't know,N/A (not currently aware),I don't know,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,No,No,Maybe,"Yes, they do",Not open at all,No,No Entry,Yes,Yes,Maybe,"Mood Disorder (Depression, Bipolar Disorder, etc)|Addictive Disorder",Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",1,Sometimes,Sometimes,31,M,United States of America,Maine,United States of America,Maine,Back-end Developer,Never
1-5,1.0,No,No Entry,No,No,I don't know,Very easy,No,No,Yes,Yes,Yes,No,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Maybe,Maybe,Maybe,"No, I don't think they would",Somewhat open,No,No Entry,No,No,No,N/A,No,N/A,0,Not applicable to me,Not applicable to me,32,M,United States of America,Pennsylvania,United States of America,Pennsylvania,Other,Always
100-500,1.0,I don't know,I am not sure,No,No,I don't know,Somewhat difficult,Yes,Maybe,No,No,No,Yes,1,Some did,I was aware of some,Some did,Some did,"Yes, always",None of them,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,No,No,"Yes, I think it would","Yes, I think they would",Neutral,"Yes, I observed",Yes,No,No,No,N/A,No,N/A,0,Not applicable to me,Not applicable to me,32,M,United States of America,Oregon,United States of America,Oregon,Supervisor/Team Lead|Back-end Developer|Support|DevOps/SysAdmin,Always
1-5,1.0,Not eligible for coverage / N/A,No Entry,No,Yes,Yes,Very easy,No,No,Maybe,Yes,Yes,No,1,I don't know,N/A (not currently aware),I don't know,None did,Sometimes,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,No,No,"No, I don't think it would","No, I don't think they would",Somewhat open,No,No Entry,Yes,No,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",1,Rarely,Often,28,F,United States of America,Kansas,United States of America,Kansas,Designer,Sometimes
More than 1000,0.0,I don't know,No,No,No,I don't know,Very difficult,Yes,No,No,No,No,No,1,"No, none did",N/A (not currently aware),None did,None did,No,"Yes, all of them",None of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,Maybe,No,"Yes, I think it would","Yes, I think they would",Not open at all,"Yes, I observed",No,Yes,Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)",Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)",1,Not applicable to me,Not applicable to me,28,M,United Kingdom,No Entry,United Kingdom,No Entry,Supervisor/Team Lead|Back-end Developer|Front-end Developer,Never
26-100,1.0,Yes,Yes,No,I don't know,I don't know,Somewhat easy,Yes,Maybe,No,Maybe,No,No,1,"Yes, they all did","Yes, I was aware of all of them",None did,Some did,"Yes, always",None of them,None of them,"Yes, at all of my previous employers","Yes, at all of my previous employers","Yes, they all did",None of them,Maybe,No,"Yes, I think it would",Maybe,Somewhat open,No,No Entry,Yes,Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Attention Deficit Hyperactivity Disorder",Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Attention Deficit Hyperactivity Disorder",1,Rarely,Often,33,F,United States of America,Pennsylvania,United States of America,Pennsylvania,Back-end Developer,Sometimes
100-500,1.0,I don't know,No,No,I don't know,I don't know,Very difficult,Yes,Maybe,Maybe,Maybe,No,Yes,1,Some did,I was aware of some,Some did,Some did,Sometimes,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,No,No,Maybe,Maybe,Somewhat not open,"Yes, I observed",Yes,I don't know,Maybe,Maybe,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Attention Deficit Hyperactivity Disorder",Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Attention Deficit Hyperactivity Disorder",1,Rarely,Rarely,37,M,United States of America,Florida,United States of America,Florida,DevOps/SysAdmin|Back-end Developer,Always
6-25,1.0,I don't know,I am not sure,No,No,I don't know,Somewhat easy,Maybe,No,Maybe,Maybe,I don't know,No,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,"Yes, all of them",None of them,"Yes, at all of my previous employers",Some of my previous employers,None did,"Yes, all of them",Maybe,No,"Yes, it has",Maybe,Very open,"Yes, I experienced",No Entry,No,Yes,No,N/A,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)|Stress Response Syndromes",1,Sometimes,Sometimes,27,F,Germany,No Entry,Germany,No Entry,Back-end Developer|Front-end Developer,Always
More than 1000,1.0,No,No,No,No,I don't know,I don't know,No,No,Maybe,Maybe,I don't know,No,1,"No, none did",N/A (not currently aware),None did,None did,"Yes, always",I don't know,None of them,"Yes, at all of my previous employers","Yes, at all of my previous employers","Yes, they all did",None of them,Maybe,No,"Yes, I think it would","Yes, I think they would",Somewhat open,No,No Entry,No,No,Maybe,Attention Deficit Hyperactivity Disorder,No,N/A,0,Never,Never,39,M,United States of America,Texas,United States of America,Texas,Back-end Developer|Front-end Developer,Always
More than 1000,0.0,Yes,Yes,I don't know,Yes,Yes,Somewhat easy,Maybe,No,Maybe,Yes,I don't know,No,1,Some did,I was aware of some,Some did,Some did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,No,No,Maybe,Maybe,Somewhat open,No,No Entry,I don't know,No,No,N/A,No,N/A,0,Not applicable to me,Not applicable to me,34,F,United States of America,Texas,United States of America,Texas,Front-end Developer,Never
6-25,1.0,Not eligible for coverage / N/A,No Entry,No,I don't know,I don't know,Somewhat easy,No,No,Maybe,Yes,Yes,No,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,I don't know,Some of them,Some of my previous employers,Some of my previous employers,None did,None of them,No,No,Maybe,Maybe,Neutral,"Yes, I observed",Yes,I don't know,Maybe,Maybe,"Mood Disorder (Depression, Bipolar Disorder, etc)|Personality Disorder (Borderline, Antisocial, Paranoid, etc)",No,N/A,0,Not applicable to me,Not applicable to me,31,F,Other,No Entry,Other,No Entry,Support|Other,Always
More than 1000,0.0,Yes,Yes,No,Yes,No,Very easy,Yes,No,No,No,No,No,1,Some did,I was aware of some,Some did,None did,No,"Yes, all of them",None of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,No,No,"Yes, I think it would","Yes, I think they would",Somewhat not open,"Yes, I observed",Yes,Yes,Maybe,Maybe,"Mood Disorder (Depression, Bipolar Disorder, etc)",Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",0,Rarely,Often,39,M,United States of America,Maryland,United States of America,Maryland,Supervisor/Team Lead|Back-end Developer,Sometimes
26-100,1.0,I don't know,No,No,I don't know,I don't know,Somewhat difficult,Maybe,Maybe,No,No,No,No,1,Some did,I was aware of some,Some did,Some did,Sometimes,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Maybe,Maybe,Maybe,Maybe,Somewhat not open,"Yes, I observed",Yes,Yes,Yes,No,N/A,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)|Addictive Disorder",1,Sometimes,Sometimes,46,M,United States of America,Virginia,United States of America,District of Columbia,Support|Back-end Developer|Front-end Developer,Sometimes
More than 1000,1.0,I don't know,No,No,I don't know,I don't know,Somewhat easy,No,No,Maybe,Yes,Yes,No,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,None of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,Yes,Yes,"No, I don't think it would","No, I don't think they would",Somewhat open,No,No Entry,No,No,Maybe,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",No,N/A,0,Rarely,Sometimes,28,M,United States of America,Tennessee,United States of America,Tennessee,Front-end Developer,Sometimes
26-100,1.0,I don't know,I am not sure,No,I don't know,Yes,Neither easy nor difficult,Maybe,No,No,No,Yes,No,1,Some did,"No, I only became aware later",None did,Some did,No,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Yes,Maybe,"Yes, I think it would",Maybe,Somewhat open,No,No Entry,No,No,No,N/A,No,N/A,0,Not applicable to me,Not applicable to me,32,M,France,No Entry,France,No Entry,Back-end Developer,Sometimes
26-100,0.0,I don't know,I am not sure,Yes,No,I don't know,Somewhat easy,No,No,Yes,Yes,Yes,No,1,"No, none did","No, I only became aware later",None did,None did,No,"Yes, all of them","Yes, all of them","No, at none of my previous employers","No, at none of my previous employers",None did,"Yes, all of them",Yes,Yes,"Yes, it has","No, they do not",Somewhat open,"Yes, I experienced",Yes,No,Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Post-traumatic Stress Disorder",Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Post-traumatic Stress Disorder",1,Sometimes,Often,51,M,United States of America,North Carolina,United States of America,North Carolina,Supervisor/Team Lead,Sometimes
500-1000,0.0,I don't know,No,No,Yes,Yes,Neither easy nor difficult,No,No,Yes,Yes,I don't know,No,1,Some did,"No, I only became aware later",None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Yes,Maybe,"Yes, I think it would",Maybe,Somewhat open,Maybe/Not sure,No,I don't know,Maybe,Maybe,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Attention Deficit Hyperactivity Disorder",No,N/A,1,Not applicable to me,Not applicable to me,29,M,United States of America,Illinois,United States of America,Illinois,Back-end Developer,Sometimes
1-5,1.0,No,No Entry,No,No,No,Very easy,No,No,Yes,Yes,I don't know,No,1,"No, none did",N/A (not currently aware),None did,None did,No,None of them,None of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Yes,Yes,"No, I don't think it would","No, I don't think they would",Neutral,No,No Entry,Yes,Maybe,Maybe,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Personality Disorder (Borderline, Antisocial, Paranoid, etc)|Stress Response Syndromes",No,N/A,0,Rarely,Rarely,32,M,Iran,No Entry,Iran,No Entry,Other|Dev Evangelist/Advocate|Support,Sometimes
More than 1000,0.0,Not eligible for coverage / N/A,No Entry,No,Yes,I don't know,Neither easy nor difficult,Maybe,No,No,Maybe,No,No,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,"No, at none of my previous employers","No, at none of my previous employers",Some did,Some of them,Yes,Maybe,"Yes, I think it would","Yes, I think they would",Neutral,Maybe/Not sure,Maybe,Yes,Maybe,No,N/A,No,N/A,1,Not applicable to me,Not applicable to me,52,M,Switzerland,No Entry,Switzerland,No Entry,Support|Designer|Front-end Developer,Never
More than 1000,0.0,Yes,Yes,No,I don't know,I don't know,Somewhat difficult,Yes,Maybe,Maybe,Maybe,No,No,1,Some did,"No, I only became aware later",None did,None did,I don't know,"Yes, all of them","Yes, all of them",Some of my previous employers,Some of my previous employers,None did,Some of them,Maybe,Maybe,"Yes, I think it would","Yes, I think they would",Neutral,Maybe/Not sure,Maybe,I don't know,Yes,Maybe,"Mood Disorder (Depression, Bipolar Disorder, etc)",Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",1,Sometimes,Often,35,M,United States of America,Illinois,United States of America,Illinois,Other|Dev Evangelist/Advocate|Support,Never
26-100,1.0,No,No Entry,No,No,I don't know,Neither easy nor difficult,Maybe,No,Yes,Yes,I don't know,No,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,I don't know,Some of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,No,No,"Yes, I think it would",Maybe,Somewhat not open,Maybe/Not sure,Maybe,No,No,No,N/A,No,N/A,0,Not applicable to me,Not applicable to me,38,M,Ireland,No Entry,Ireland,No Entry,Designer|Supervisor/Team Lead,Sometimes
6-25,0.0,I don't know,No,No,I don't know,I don't know,Somewhat difficult,Maybe,No,No,Yes,I don't know,No,1,"No, none did","Yes, I was aware of all of them",None did,None did,I don't know,I don't know,None of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,Maybe,No,"No, I don't think it would",Maybe,Not open at all,Maybe/Not sure,No,No,Maybe,Maybe,"Mood Disorder (Depression, Bipolar Disorder, etc)|Personality Disorder (Borderline, Antisocial, Paranoid, etc)",No,N/A,0,Not applicable to me,Sometimes,27,M,United States of America,Washington,United States of America,Washington,DevOps/SysAdmin|Support|Back-end Developer|Front-end Developer,Never
6-25,1.0,I don't know,No,No,Yes,Yes,I don't know,No,No,No,Yes,Yes,Yes,1,Some did,I was aware of some,Some did,Some did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",I don't know,Some of them,No,No,"Yes, it has","No, I don't think they would",Somewhat not open,No,No Entry,Yes,Yes,Yes,None,No,N/A,0,Not applicable to me,Often,40,F,United States of America,Oregon,United States of America,Oregon,Other,Always
500-1000,0.0,Not eligible for coverage / N/A,No Entry,I don't know,I don't know,I don't know,Very difficult,Yes,Maybe,No,No,No,No,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,"Yes, all of them",Some of them,"No, at none of my previous employers","No, at none of my previous employers",I don't know,None of them,No,No,"Yes, I think it would","Yes, I think they would",Neutral,Maybe/Not sure,No Entry,No,Maybe,No,N/A,No,N/A,0,Not applicable to me,Not applicable to me,32,M,South Africa,No Entry,South Africa,No Entry,Front-end Developer,Never
100-500,0.0,Yes,Yes,No,No,Yes,Somewhat difficult,Maybe,No,Maybe,Maybe,No,No,1,"Yes, they all did","Yes, I was aware of all of them",None did,None did,"Yes, always","Yes, all of them",None of them,Some of my previous employers,Some of my previous employers,None did,"Yes, all of them",No,No,"Yes, I think it would","Yes, I think they would",Somewhat open,"Yes, I experienced",No,I don't know,Yes,Yes,Post-traumatic Stress Disorder,Yes,Post-traumatic Stress Disorder,0,Never,Often,28,F,Germany,No Entry,Germany,No Entry,Other,Never
More than 1000,0.0,No,Yes,No,No,I don't know,Somewhat easy,Maybe,No,No,No,No,No,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,"Yes, I think it would","Yes, I think they would",Somewhat open,No,No Entry,Yes,No,No,N/A,No,N/A,0,Not applicable to me,Not applicable to me,42,M,United States of America,California,United States of America,California,Front-end Developer,Sometimes
1-5,1.0,No,Yes,No,No,I don't know,Somewhat easy,Maybe,No,Maybe,Maybe,Yes,No,1,"Yes, they all did",I was aware of some,None did,Some did,I don't know,None of them,None of them,"Yes, at all of my previous employers","Yes, at all of my previous employers","Yes, they all did",None of them,No,No,Maybe,Maybe,Somewhat open,No,No Entry,Yes,Yes,Maybe,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Stress Response Syndromes",Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",1,Rarely,Sometimes,31,M,United States of America,New York,United States of America,New York,Executive Leadership|Supervisor/Team Lead|DevOps/SysAdmin|Back-end Developer|Front-end Developer|One-person shop,Sometimes
6-25,1.0,No,No Entry,No,No,I don't know,Somewhat easy,No,No,No,No,I don't know,No,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,Maybe,No,Maybe,Maybe,Somewhat open,No,No Entry,Yes,Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)",1,Sometimes,Often,35,M,Canada,No Entry,Canada,No Entry,Designer,Never
26-100,1.0,Not eligible for coverage / N/A,I am not sure,Yes,No,Yes,Very easy,No,No,Yes,Yes,Yes,No,1,"No, none did","Yes, I was aware of all of them",None did,None did,Sometimes,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,No,No,"No, I don't think it would","No, I don't think they would",Very open,No,No Entry,Yes,Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Substance Use Disorder",Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)",1,Rarely,Often,35,M,Australia,No Entry,Australia,No Entry,DevOps/SysAdmin|Back-end Developer|Front-end Developer,Sometimes
26-100,1.0,Yes,Yes,No,I don't know,Yes,Somewhat easy,Maybe,No,Maybe,Yes,Yes,No,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Maybe,Maybe,"Yes, I think it would",Maybe,Somewhat open,No,No Entry,Yes,Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Attention Deficit Hyperactivity Disorder",Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)|Attention Deficit Hyperactivity Disorder",1,Rarely,Often,24,M,United States of America,California,United States of America,California,Back-end Developer,Never
6-25,1.0,No,No,No,No,No,I don't know,Maybe,No,No,No,No,No,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,No,Maybe,Maybe,Neutral,Maybe/Not sure,Maybe,No,No,No,N/A,No,N/A,0,Sometimes,Sometimes,23,M,India,No Entry,India,No Entry,Back-end Developer,Sometimes
6-25,1.0,No,No Entry,Yes,No,Yes,Very easy,No,No,Maybe,Maybe,I don't know,No,1,Some did,"No, I only became aware later",None did,None did,I don't know,I don't know,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,No,No,Maybe,"No, I don't think they would",Somewhat open,Maybe/Not sure,Maybe,No,No,No,N/A,No,N/A,0,Not applicable to me,Not applicable to me,38,M,France,No Entry,France,No Entry,Executive Leadership,Always
26-100,1.0,I don't know,No,No,I don't know,I don't know,Very easy,No,No,No,Maybe,Yes,No,1,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,Some of them,"No, at none of my previous employers",Some of my previous employers,I don't know,None of them,Yes,Yes,Maybe,Maybe,Somewhat not open,No,No Entry,No,No,No,N/A,No,N/A,0,Not applicable to me,Not applicable to me,33,M,France,No Entry,France,No Entry,Back-end Developer,Sometimes
26-100,1.0,I don't know,I am not sure,I don't know,I don't know,I don't know,Very easy,No,No,Yes,Yes,Yes,No,1,I don't know,N/A (not currently aware),I don't know,None did,I don't know,I don't know,None of them,"Yes, at all of my previous employers","Yes, at all of my previous employers",I don't know,None of them,Yes,Yes,Maybe,Maybe,Somewhat open,No,No Entry,No,No,No,N/A,No,N/A,0,Not applicable to me,Not applicable to me,35,M,United Kingdom,No Entry,United Kingdom,No Entry,Back-end Developer,Sometimes
