B,C,E,F,G,H,I,J,K,L,M,N,O,P,Y,Z,AA,BB,CC,DD,EE,FF,GG,HH,II,JJ,KK,MM,OO,PP,QQ,RR,SS,TT,UU,VV,YY,AAA,BBB,CCC,DDD,EEE,FFF,HHH,LLL
100-500,True,Yes,No,No,No,I don't know,Somewhat difficult,Maybe,Maybe,Maybe,No,No,Yes,True,Some did,I was aware of some,None did,None did,Sometimes,"Yes, all of them",Some of them,Some of my previous employers,Some of my previous employers,None did,None of them,No,No,"Yes, it has",Maybe,Very open,"Yes, I experienced",No Entry,Yes,Yes,Yes,Yes,True,Sometimes,Often,Upper Mid Career,M,United States of America,United States of America,Always
100-500,False,No,I am not sure,No,No,I don't know,Neither easy nor difficult,Maybe,No,No,Maybe,I don't know,No,True,Some did,I was aware of some,I don't know,Some did,Sometimes,Some of them,None of them,Some of my previous employers,Some of my previous employers,None did,None of them,Maybe,No,"Yes, I think it would","Yes, I think they would",Somewhat open,No Entry,No Entry,Yes,Yes,Maybe,Yes,True,Not applicable to me,Often,Lower Mid Career,F,Canada,Canada,Sometimes
1-5,True,No,No,No,No,No,Very easy,No,Maybe,Maybe,No,I don't know,Yes,False,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Yes,"Yes, I think it would","Yes, I think they would",Very open,No,No Entry,No,No,No,No,False,Never,Never,Early Career,M,India,India,Never
More than 1000,True,Yes,I am not sure,No,No,Yes,Somewhat easy,Maybe,No,Yes,Maybe,I don't know,No,True,"Yes, they all did","No, I only became aware later",None did,None did,I don't know,None of them,None of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,No,No,Maybe,"No, I don't think they would",Somewhat open,No,No Entry,No,No,No,No,False,Not applicable to me,Not applicable to me,Upper Mid Career,M,Germany,Germany,Sometimes
100-500,False,I don't know,No,No,I don't know,I don't know,I don't know,Maybe,No,Maybe,Yes,I don't know,No,True,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Yes,Maybe,"No, I don't think it would",Maybe,Somewhat open,No,No Entry,Yes,No,Maybe,No,True,Rarely,Often,Early Career,M,United Kingdom,United Kingdom,Never
6-25,True,Not eligible for coverage / N/A,No Entry,No,No,I don't know,Somewhat difficult,No,No,Maybe,Yes,No,No,False,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Maybe,"Yes, I think it would","No, I don't think they would",Neutral,No,No Entry,No,No,No,No,False,Not applicable to me,Not applicable to me,Early Career,M,United Kingdom,United Kingdom,Never
6-25,True,I don't know,I am not sure,No,No,Yes,Neither easy nor difficult,Maybe,No,Yes,No,I don't know,No,False,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Maybe,"No, I don't think they would",Somewhat open,No,No Entry,No,No,No,No,False,Not applicable to me,Not applicable to me,Lower Mid Career,M,United States of America,United States of America,Sometimes
More than 1000,False,I don't know,I am not sure,No,I don't know,I don't know,Neither easy nor difficult,Maybe,Maybe,No,No,Yes,No,True,I don't know,N/A (not currently aware),I don't know,None did,I don't know,I don't know,Some of them,"No, at none of my previous employers",Some of my previous employers,I don't know,None of them,Maybe,Maybe,Maybe,"Yes, I think they would",Somewhat open,No,No Entry,No,No,No,No,False,Rarely,Not applicable to me,Upper Mid Career,M,United Kingdom,United Kingdom,Never
6-25,True,I don't know,I am not sure,No,No,I don't know,Very easy,No,No,Maybe,Maybe,I don't know,No,True,"No, none did",N/A (not currently aware),None did,None did,I don't know,None of them,None of them,"Yes, at all of my previous employers","Yes, at all of my previous employers",Some did,None of them,Maybe,Maybe,"No, I don't think it would","No, I don't think they would",Somewhat open,No Entry,No Entry,Yes,Maybe,Maybe,No,False,Not applicable to me,Sometimes,Lower Mid Career,M,New Zealand,New Zealand,Always
26-100,False,I don't know,No,No,No,I don't know,Very difficult,Maybe,No,No,No,I don't know,No,False,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,"Yes, I think it would","Yes, I think they would",Not open at all,Maybe/Not sure,No,I don't know,Maybe,Maybe,No,False,Not applicable to me,Sometimes,Upper Mid Career,M,United Kingdom,United Kingdom,Sometimes
26-100,False,Yes,No,No,No,I don't know,Very difficult,Maybe,No,No,No,No,No,True,"No, none did","Yes, I was aware of all of them",None did,None did,I don't know,None of them,Some of them,"Yes, at all of my previous employers","Yes, at all of my previous employers","Yes, they all did",None of them,Maybe,No,"Yes, I think it would","Yes, I think they would",Somewhat open,Maybe/Not sure,No Entry,Yes,Yes,Yes,No,True,Not applicable to me,Often,Lower Mid Career,F,United Kingdom,United Kingdom,Never
6-25,True,No,No,No,No,I don't know,I don't know,Yes,Maybe,No,No,I don't know,No,True,"No, none did",N/A (not currently aware),None did,None did,I don't know,"Yes, all of them",Some of them,Some of my previous employers,"No, at none of my previous employers",I don't know,Some of them,Maybe,Maybe,"Yes, I think it would",Maybe,Not applicable to me (I do not have a mental illness),No Entry,No Entry,I don't know,No,No,No,False,Not applicable to me,Not applicable to me,Early Career,M,United Kingdom,United Kingdom,Never
100-500,True,Yes,I am not sure,I don't know,Yes,I don't know,I don't know,Maybe,No,Maybe,Maybe,I don't know,No,True,I don't know,N/A (not currently aware),None did,None did,I don't know,Some of them,None of them,Some of my previous employers,I don't know,Some did,None of them,Yes,Maybe,Maybe,"No, I don't think they would",Somewhat open,Maybe/Not sure,No Entry,Yes,Yes,Yes,Yes,True,Rarely,Sometimes,Lower Mid Career,M,United States of America,United States of America,Always
More than 1000,True,Yes,Yes,No,No,No,Very difficult,Maybe,No,No,No,No,No,True,Some did,"Yes, I was aware of all of them",None did,None did,I don't know,"Yes, all of them",None of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,No,No,"Yes, I think it would","Yes, I think they would",Somewhat open,No,No Entry,Yes,Yes,Yes,Yes,True,Sometimes,Often,Upper Mid Career,M,United States of America,United States of America,Sometimes
100-500,True,I don't know,No,I don't know,I don't know,I don't know,Very easy,No,No,Yes,Yes,Yes,No,True,I don't know,N/A (not currently aware),I don't know,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,Maybe,"No, I don't think it would","No, I don't think they would",Somewhat open,Maybe/Not sure,No,I don't know,No,No,No,False,Not applicable to me,Not applicable to me,Lower Mid Career,M,United States of America,United States of America,Always
6-25,True,I don't know,I am not sure,No,No,I don't know,I don't know,No,No,Maybe,Maybe,I don't know,No,True,I don't know,I was aware of some,None did,None did,I don't know,I don't know,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,No,No,"Yes, I think it would",Maybe,Not applicable to me (I do not have a mental illness),No,No Entry,No,No,No,No,False,Not applicable to me,Not applicable to me,Upper Mid Career,M,United States of America,United States of America,Sometimes
500-1000,True,I don't know,No,No,Yes,I don't know,I don't know,Maybe,No,No,No,No,No,True,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,"No, at none of my previous employers","No, at none of my previous employers",Some did,None of them,Maybe,Maybe,"Yes, I think it would","Yes, I think they would",Very open,No,No Entry,Yes,Yes,Yes,Yes,True,Rarely,Often,Upper Mid Career,F,France,France,Never
More than 1000,True,Yes,I am not sure,No,I don't know,I don't know,Somewhat easy,No,No,No,No,I don't know,No,True,"Yes, they all did",I was aware of some,"Yes, they all did","Yes, they all did",Sometimes,None of them,None of them,"Yes, at all of my previous employers","Yes, at all of my previous employers","Yes, they all did",None of them,Maybe,Maybe,Maybe,Maybe,Somewhat open,No,No Entry,Yes,Yes,Yes,Yes,False,Rarely,Sometimes,Lower Mid Career,F,United States of America,United States of America,Sometimes
More than 1000,True,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,Maybe,Yes,Yes,No,True,Some did,"Yes, I was aware of all of them","Yes, they all did",Some did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Yes,Maybe,"No, I don't think it would",Maybe,Somewhat open,No Entry,No Entry,Yes,Yes,No,No,False,Not applicable to me,Not applicable to me,Upper Mid Career,M,United States of America,United States of America,Sometimes
6-25,True,Yes,No,No,No,I don't know,Somewhat difficult,No,No,Maybe,Maybe,Yes,No,True,"Yes, they all did",I was aware of some,None did,None did,"Yes, always",None of them,None of them,"Yes, at all of my previous employers","Yes, at all of my previous employers","Yes, they all did",None of them,Yes,Maybe,Maybe,Maybe,Somewhat open,No,No Entry,No,No,No,No,False,Not applicable to me,Not applicable to me,Late Career,M,United States of America,United States of America,Sometimes
26-100,True,No,No,No,No,I don't know,Somewhat easy,No,No,Maybe,Maybe,I don't know,No,False,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Maybe,Maybe,Maybe,Maybe,Somewhat open,No,No Entry,No,No,No,No,False,Sometimes,Often,Lower Mid Career,M,Romania,United States of America,Always
500-1000,True,Yes,Yes,No,I don't know,Yes,Neither easy nor difficult,No,No,Maybe,Yes,I don't know,No,True,"Yes, they all did","Yes, I was aware of all of them",Some did,Some did,"Yes, always",None of them,Some of them,Some of my previous employers,"Yes, at all of my previous employers",Some did,None of them,Maybe,Maybe,Maybe,Maybe,Very open,No,No Entry,I don't know,Yes,Yes,No,True,Rarely,Sometimes,Lower Mid Career,M,United States of America,United States of America,Sometimes
26-100,True,I don't know,No,No,No,I don't know,I don't know,No,No,Maybe,No,No,No,True,I don't know,N/A (not currently aware),None did,None did,I don't know,Some of them,None of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,No,No,"Yes, I think it would","No, I don't think they would",Somewhat open,No,No Entry,No,Yes,No,Yes,True,Not applicable to me,Not applicable to me,Early Career,M,United States of America,United States of America,Sometimes
6-25,True,I don't know,I am not sure,I don't know,I don't know,I don't know,Somewhat easy,No,No,Maybe,Yes,I don't know,No,True,I don't know,N/A (not currently aware),I don't know,None did,I don't know,I don't know,Some of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Maybe,No,Maybe,Maybe,Somewhat open,Maybe/Not sure,No Entry,I don't know,No,No,No,False,Not applicable to me,Not applicable to me,Upper Mid Career,M,United States of America,United States of America,Sometimes
6-25,True,Yes,I am not sure,No,No,I don't know,Very difficult,Yes,Maybe,Maybe,Maybe,Yes,Yes,True,"Yes, they all did",I was aware of some,Some did,Some did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,"Yes, they all did",Some of them,Maybe,Maybe,"Yes, I think it would","Yes, I think they would",Not applicable to me (I do not have a mental illness),"Yes, I observed",Yes,Yes,No,No,No,False,Not applicable to me,Not applicable to me,Lower Mid Career,M,United States of America,United States of America,Sometimes
26-100,False,No,No,No,No,No,Very difficult,Yes,Yes,No,No,No,No,True,"No, none did",N/A (not currently aware),I don't know,None did,I don't know,"Yes, all of them","Yes, all of them","Yes, at all of my previous employers","No, at none of my previous employers",None did,None of them,No,No,"Yes, I think it would","Yes, I think they would",Neutral,"Yes, I observed",Maybe,I don't know,Maybe,Maybe,No,False,Often,Often,Upper Mid Career,M,Poland,Poland,Never
6-25,True,Yes,No,No,I don't know,Yes,Very difficult,No,No,No,Maybe,I don't know,No,True,"Yes, they all did",I was aware of some,Some did,Some did,"Yes, always",Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,No,No,"Yes, I think it would","No, I don't think they would",Not open at all,Maybe/Not sure,No,No,No,No,No,True,Not applicable to me,Not applicable to me,Upper Mid Career,M,United States of America,United States of America,Sometimes
26-100,True,Yes,Yes,No,No,Yes,Somewhat easy,No,No,Yes,Yes,No,No,True,"Yes, they all did",I was aware of some,Some did,None did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,None did,None of them,Yes,Yes,Maybe,"No, they do not",Very open,Maybe/Not sure,No,Yes,Yes,Yes,Yes,True,Rarely,Often,Lower Mid Career,M,United States of America,United States of America,Sometimes
More than 1000,False,Yes,I am not sure,Yes,I don't know,I don't know,Somewhat easy,Maybe,No,Maybe,Yes,I don't know,No,False,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Maybe,Maybe,Somewhat open,No Entry,No Entry,No,No,No,No,False,Not applicable to me,Not applicable to me,Upper Mid Career,M,United Kingdom,United Kingdom,Sometimes
100-500,True,Yes,Yes,No,I don't know,Yes,Somewhat easy,Yes,Maybe,Yes,Yes,No,Yes,True,"Yes, they all did",I was aware of some,Some did,Some did,"Yes, always",None of them,Some of them,"Yes, at all of my previous employers","Yes, at all of my previous employers",Some did,None of them,No,No,"Yes, it has","Yes, they do",Very open,"Yes, I experienced",Yes,I don't know,Yes,Yes,Yes,True,Sometimes,Often,Lower Mid Career,F,United States of America,United States of America,Always
6-25,True,No,I am not sure,No,No,I don't know,Neither easy nor difficult,Maybe,No,Maybe,No,I don't know,No,True,"No, none did",N/A (not currently aware),I don't know,None did,I don't know,I don't know,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,Maybe,Maybe,"No, I don't think they would",Somewhat open,Maybe/Not sure,No Entry,Yes,No,No,No,False,Not applicable to me,Not applicable to me,Early Career,M,Bulgaria,Bulgaria,Sometimes
More than 1000,False,I don't know,I am not sure,Yes,Yes,I don't know,Very difficult,Yes,No,No,No,I don't know,No,True,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,None of them,"No, at none of my previous employers",Some of my previous employers,Some did,None of them,Maybe,No,"No, I don't think it would","No, I don't think they would",Somewhat open,No,No Entry,Yes,Yes,Yes,Yes,True,Rarely,Often,Lower Mid Career,F,United States of America,United States of America,Sometimes
6-25,True,Yes,Yes,Yes,Yes,Yes,Neither easy nor difficult,No,No,Maybe,No,Yes,No,True,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,Maybe,No,"Yes, I think it would","Yes, I think they would",Somewhat open,"Yes, I observed",Yes,No,Yes,Yes,No,True,Never,Sometimes,Early Career,M,United States of America,United States of America,Never
More than 1000,False,Yes,I am not sure,I don't know,Yes,Yes,Neither easy nor difficult,Maybe,No,No,Maybe,Yes,No,True,"No, none did",N/A (not currently aware),None did,None did,No,Some of them,None of them,"No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,Maybe,No,"Yes, I think it would","Yes, I think they would",Somewhat open,"Yes, I observed",No,Yes,Maybe,No,No,False,Not applicable to me,Not applicable to me,Lower Mid Career,M,Canada,Canada,Sometimes
26-100,False,No,I am not sure,Yes,I don't know,Yes,Somewhat difficult,Yes,No,No,No,I don't know,No,True,Some did,I was aware of some,None did,None did,I don't know,"Yes, all of them",Some of them,Some of my previous employers,"No, at none of my previous employers",I don't know,Some of them,Maybe,Maybe,"Yes, I think it would","Yes, I think they would",Somewhat open,"Yes, I experienced",No,No,Yes,Yes,Yes,True,Sometimes,Often,Lower Mid Career,M,United States of America,United States of America,Sometimes
26-100,True,I don't know,I am not sure,No,No,I don't know,Somewhat difficult,Maybe,No,No,No,I don't know,No,True,"No, none did",N/A (not currently aware),None did,None did,No,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,Maybe,No,"Yes, I think it would","Yes, I think they would",Somewhat open,No,No Entry,I don't know,Yes,Yes,Yes,True,Not applicable to me,Often,Lower Mid Career,M,Canada,Canada,Sometimes
100-500,True,Yes,No,No,I don't know,I don't know,Very easy,Maybe,No,No,Maybe,I don't know,No,True,Some did,"No, I only became aware later",None did,Some did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,Maybe,No,"Yes, I think it would","Yes, I think they would",Somewhat open,Maybe/Not sure,No,Yes,Yes,Maybe,Yes,True,Sometimes,Often,Lower Mid Career,M,United States of America,United States of America,Sometimes
6-25,True,Yes,I am not sure,No,I don't know,I don't know,Somewhat easy,Maybe,No,Yes,Yes,Yes,No,True,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Maybe,Maybe,Maybe,Maybe,Somewhat open,No,No Entry,Yes,Yes,Yes,Yes,True,Often,Often,Late Career,M,United States of America,United States of America,Sometimes
More than 1000,True,Yes,I am not sure,Yes,No,Yes,Very difficult,Yes,No,Yes,No,No,Yes,True,I don't know,N/A (not currently aware),I don't know,None did,I don't know,I don't know,None of them,"No, at none of my previous employers",I don't know,I don't know,None of them,Maybe,No,"Yes, I think it would","No, they do not",Neutral,"Yes, I observed",Yes,I don't know,Yes,No,Yes,True,Sometimes,Often,Lower Mid Career,F,Canada,Canada,Sometimes
6-25,True,I don't know,I am not sure,I don't know,Yes,Yes,Very easy,No,No,Maybe,Maybe,Yes,No,True,"No, none did",N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,"No, at none of my previous employers",I don't know,I don't know,None of them,Maybe,Maybe,"No, I don't think it would","No, I don't think they would",Neutral,No,No Entry,No,No,No,No,False,Not applicable to me,Not applicable to me,Upper Mid Career,M,Canada,Canada,Sometimes
6-25,True,I don't know,No,I don't know,I don't know,I don't know,Very easy,No,No,Yes,Yes,Yes,No,True,I don't know,N/A (not currently aware),None did,None did,I don't know,None of them,None of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Yes,Maybe,Maybe,"No, I don't think they would",Somewhat open,Maybe/Not sure,No,No,No,No,No,False,Not applicable to me,Not applicable to me,Upper Mid Career,M,United States of America,United States of America,Sometimes
100-500,True,I don't know,No,No,No,I don't know,Somewhat easy,Maybe,No,Yes,Maybe,I don't know,No,True,I don't know,N/A (not currently aware),None did,Some did,I don't know,I don't know,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,No,Maybe,"No, I don't think they would",Very open,No Entry,No Entry,No,Maybe,No,No,False,Not applicable to me,Not applicable to me,Lower Mid Career,M,Canada,Canada,Sometimes
100-500,True,I don't know,I am not sure,No,No,I don't know,I don't know,Maybe,No,Maybe,Yes,I don't know,No,True,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,None of them,No,No,Maybe,"No, I don't think they would",Somewhat open,No,No Entry,Yes,Yes,Maybe,No,True,Sometimes,Often,Lower Mid Career,F,United States of America,United States of America,Sometimes
More than 1000,False,No,No Entry,Yes,Yes,I don't know,Somewhat easy,No,No,Maybe,Yes,No,No,True,"No, none did",I was aware of some,None did,None did,I don't know,I don't know,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Yes,Maybe,Maybe,Maybe,Somewhat not open,"Yes, I experienced",Maybe,Yes,Yes,Maybe,Yes,True,Never,Rarely,Upper Mid Career,M,United States of America,United States of America,Never
More than 1000,False,I don't know,I am not sure,Yes,Yes,Yes,Very easy,No,No,Yes,Yes,Yes,No,True,I don't know,"No, I only became aware later",None did,None did,I don't know,I don't know,Some of them,Some of my previous employers,I don't know,I don't know,None of them,No,No,"Yes, I think it would",Maybe,Somewhat not open,No,No Entry,I don't know,No,No,No,False,Sometimes,Often,Late Career,M,United States of America,United States of America,Sometimes
6-25,True,I don't know,No,No,I don't know,I don't know,Very easy,No,No,Maybe,Yes,I don't know,No,True,I don't know,N/A (not currently aware),I don't know,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,No,No,Maybe,"Yes, they do",Not open at all,No,No Entry,Yes,Yes,Maybe,Yes,True,Sometimes,Sometimes,Lower Mid Career,M,United States of America,United States of America,Never
1-5,True,No,No Entry,No,No,I don't know,Very easy,No,No,Yes,Yes,Yes,No,True,"No, none did",N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Maybe,Maybe,Maybe,"No, I don't think they would",Somewhat open,No,No Entry,No,No,No,No,False,Not applicable to me,Not applicable to me,Lower Mid Career,M,United States of America,United States of America,Always
100-500,True,I don't know,I am not sure,No,No,I don't know,Somewhat difficult,Yes,Maybe,No,No,No,Yes,True,Some did,I was aware of some,Some did,Some did,"Yes, always",None of them,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,No,No,"Yes, I think it would","Yes, I think they would",Neutral,"Yes, I observed",Yes,No,No,No,No,False,Not applicable to me,Not applicable to me,Lower Mid Career,M,United States of America,United States of America,Always
1-5,True,Not eligible for coverage / N/A,No Entry,No,Yes,Yes,Very easy,No,No,Maybe,Yes,Yes,No,True,I don't know,N/A (not currently aware),I don't know,None did,Sometimes,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,No,No,"No, I don't think it would","No, I don't think they would",Somewhat open,No,No Entry,Yes,No,Yes,Yes,True,Rarely,Often,Lower Mid Career,F,United States of America,United States of America,Sometimes
More than 1000,False,I don't know,No,No,No,I don't know,Very difficult,Yes,No,No,No,No,No,True,"No, none did",N/A (not currently aware),None did,None did,No,"Yes, all of them",None of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,Maybe,No,"Yes, I think it would","Yes, I think they would",Not open at all,"Yes, I observed",No,Yes,Yes,Yes,Yes,True,Not applicable to me,Not applicable to me,Lower Mid Career,M,United Kingdom,United Kingdom,Never
26-100,True,Yes,Yes,No,I don't know,I don't know,Somewhat easy,Yes,Maybe,No,Maybe,No,No,True,"Yes, they all did","Yes, I was aware of all of them",None did,Some did,"Yes, always",None of them,None of them,"Yes, at all of my previous employers","Yes, at all of my previous employers","Yes, they all did",None of them,Maybe,No,"Yes, I think it would",Maybe,Somewhat open,No,No Entry,Yes,Yes,Yes,Yes,True,Rarely,Often,Lower Mid Career,F,United States of America,United States of America,Sometimes
100-500,True,I don't know,No,No,I don't know,I don't know,Very difficult,Yes,Maybe,Maybe,Maybe,No,Yes,True,Some did,I was aware of some,Some did,Some did,Sometimes,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,No,No,Maybe,Maybe,Somewhat not open,"Yes, I observed",Yes,I don't know,Maybe,Maybe,Yes,True,Rarely,Rarely,Upper Mid Career,M,United States of America,United States of America,Always
6-25,True,I don't know,I am not sure,No,No,I don't know,Somewhat easy,Maybe,No,Maybe,Maybe,I don't know,No,True,"No, none did",N/A (not currently aware),None did,None did,I don't know,"Yes, all of them",None of them,"Yes, at all of my previous employers",Some of my previous employers,None did,"Yes, all of them",Maybe,No,"Yes, it has",Maybe,Very open,"Yes, I experienced",No Entry,No,Yes,No,Yes,True,Sometimes,Sometimes,Lower Mid Career,F,Germany,Germany,Always
More than 1000,True,No,No,No,No,I don't know,I don't know,No,No,Maybe,Maybe,I don't know,No,True,"No, none did",N/A (not currently aware),None did,None did,"Yes, always",I don't know,None of them,"Yes, at all of my previous employers","Yes, at all of my previous employers","Yes, they all did",None of them,Maybe,No,"Yes, I think it would","Yes, I think they would",Somewhat open,No,No Entry,No,No,Maybe,No,False,Never,Never,Upper Mid Career,M,United States of America,United States of America,Always
More than 1000,False,Yes,Yes,I don't know,Yes,Yes,Somewhat easy,Maybe,No,Maybe,Yes,I don't know,No,True,Some did,I was aware of some,Some did,Some did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,No,No,Maybe,Maybe,Somewhat open,No,No Entry,I don't know,No,No,No,False,Not applicable to me,Not applicable to me,Lower Mid Career,F,United States of America,United States of America,Never
6-25,True,Not eligible for coverage / N/A,No Entry,No,I don't know,I don't know,Somewhat easy,No,No,Maybe,Yes,Yes,No,True,"No, none did",N/A (not currently aware),None did,None did,I don't know,I don't know,Some of them,Some of my previous employers,Some of my previous employers,None did,None of them,No,No,Maybe,Maybe,Neutral,"Yes, I observed",Yes,I don't know,Maybe,Maybe,No,False,Not applicable to me,Not applicable to me,Lower Mid Career,F,Other,Other,Always
More than 1000,False,Yes,Yes,No,Yes,No,Very easy,Yes,No,No,No,No,No,True,Some did,I was aware of some,Some did,None did,No,"Yes, all of them",None of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,No,No,"Yes, I think it would","Yes, I think they would",Somewhat not open,"Yes, I observed",Yes,Yes,Maybe,Maybe,Yes,False,Rarely,Often,Upper Mid Career,M,United States of America,United States of America,Sometimes
26-100,True,I don't know,No,No,I don't know,I don't know,Somewhat difficult,Maybe,Maybe,No,No,No,No,True,Some did,I was aware of some,Some did,Some did,Sometimes,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Maybe,Maybe,Maybe,Maybe,Somewhat not open,"Yes, I observed",Yes,Yes,Yes,No,Yes,True,Sometimes,Sometimes,Late Career,M,United States of America,United States of America,Sometimes
More than 1000,True,I don't know,No,No,I don't know,I don't know,Somewhat easy,No,No,Maybe,Yes,Yes,No,True,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,None of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,Yes,Yes,"No, I don't think it would","No, I don't think they would",Somewhat open,No,No Entry,No,No,Maybe,No,False,Rarely,Sometimes,Lower Mid Career,M,United States of America,United States of America,Sometimes
26-100,True,I don't know,I am not sure,No,I don't know,Yes,Neither easy nor difficult,Maybe,No,No,No,Yes,No,True,Some did,"No, I only became aware later",None did,Some did,No,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Yes,Maybe,"Yes, I think it would",Maybe,Somewhat open,No,No Entry,No,No,No,No,False,Not applicable to me,Not applicable to me,Lower Mid Career,M,France,France,Sometimes
26-100,False,I don't know,I am not sure,Yes,No,I don't know,Somewhat easy,No,No,Yes,Yes,Yes,No,True,"No, none did","No, I only became aware later",None did,None did,No,"Yes, all of them","Yes, all of them","No, at none of my previous employers","No, at none of my previous employers",None did,"Yes, all of them",Yes,Yes,"Yes, it has","No, they do not",Somewhat open,"Yes, I experienced",Yes,No,Yes,Yes,Yes,True,Sometimes,Often,Late Career,M,United States of America,United States of America,Sometimes
500-1000,False,I don't know,No,No,Yes,Yes,Neither easy nor difficult,No,No,Yes,Yes,I don't know,No,True,Some did,"No, I only became aware later",None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Yes,Maybe,"Yes, I think it would",Maybe,Somewhat open,Maybe/Not sure,No,I don't know,Maybe,Maybe,No,True,Not applicable to me,Not applicable to me,Lower Mid Career,M,United States of America,United States of America,Sometimes
1-5,True,No,No Entry,No,No,No,Very easy,No,No,Yes,Yes,I don't know,No,True,"No, none did",N/A (not currently aware),None did,None did,No,None of them,None of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Yes,Yes,"No, I don't think it would","No, I don't think they would",Neutral,No,No Entry,Yes,Maybe,Maybe,No,False,Rarely,Rarely,Lower Mid Career,M,Iran,Iran,Sometimes
More than 1000,False,Not eligible for coverage / N/A,No Entry,No,Yes,I don't know,Neither easy nor difficult,Maybe,No,No,Maybe,No,No,True,"No, none did",N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,"No, at none of my previous employers","No, at none of my previous employers",Some did,Some of them,Yes,Maybe,"Yes, I think it would","Yes, I think they would",Neutral,Maybe/Not sure,Maybe,Yes,Maybe,No,No,True,Not applicable to me,Not applicable to me,Late Career,M,Switzerland,Switzerland,Never
